Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KEYWORDS	Alternative splicing	138	49.11032028469751	1.6519817132664222E-5	9584, 4054, 7444, 8896, 254251, 115677, 348094, 116372, 29781, 353174, 1453, 150159, 755, 11066, 10131, 9736, 84167, 10015, 7298, 65018, 221037, 23215, 55052, 653857, 2316, 5708, 2677, 55215, 6238, 51535, 6878, 4216, 8938, 84153, 10190, 11162, 116986, 2175, 7182, 9088, 26019, 10998, 4629, 57404, 140890, 80781, 27102, 79955, 84864, 10352, 6524, 54812, 57409, 8564, 7112, 4000, 2067, 1130, 55630, 3425, 1400, 26146, 10409, 11177, 140545, 90326, 55119, 10123, 84971, 10488, 10643, 9784, 9146, 23526, 6550, 92822, 3320, 245973, 79172, 56172, 2744, 55760, 6709, 60312, 3038, 54675, 79856, 953, 10297, 8602, 58517, 10336, 23080, 4141, 5870, 100128327, 1153, 84904, 23414, 5590, 81888, 26121, 26000, 171568, 55653, 53635, 11154, 3964, 197335, 10861, 79729, 10225, 11083, 4670, 10273, 23101, 143570, 54973, 140459, 10311, 2803, 51747, 9970, 11010, 5499, 57451, 27039, 55152, 9295, 80179, 5928, 2774, 56246, 51477, 109, 54623, 8878, 11138	209	10587	20581	1.2835901030558827	0.004285976805328162	0.004295152454492698	0.004179513734564048
UP_KEYWORDS	Phosphoprotein	113	40.213523131672595	3.7381862932853687E-5	9584, 7444, 2551, 115677, 29781, 26155, 1453, 755, 239, 374395, 10131, 8888, 9736, 84167, 10015, 7298, 8303, 11076, 65018, 221037, 23215, 2316, 5708, 2312, 55215, 6238, 51535, 83860, 6878, 4216, 84153, 10190, 116986, 2175, 7182, 9088, 84617, 26019, 10998, 4629, 57524, 140890, 80781, 27102, 84864, 54812, 7975, 7112, 4000, 1130, 29899, 63935, 1400, 26146, 10409, 11177, 90326, 11333, 55119, 84971, 58506, 10643, 9784, 9146, 23526, 6550, 8694, 8576, 3320, 79172, 9382, 2744, 6709, 60312, 10297, 5216, 8602, 50, 10213, 58517, 23080, 4141, 5870, 1153, 23414, 5590, 3326, 26121, 26000, 55379, 140685, 388697, 53635, 197335, 11083, 4670, 10273, 57448, 1399, 51341, 2803, 51747, 9970, 5499, 57451, 9295, 80179, 5928, 2774, 84138, 109, 54623, 8878	209	8246	20581	1.3494453451115056	0.009672384678272805	0.004859642181270979	0.004728805661005991
GOTERM_BP_DIRECT	GO:0006950~response to stress	7	2.491103202846975	5.372450409155724E-5	3326, 27102, 8303, 10131, 3320, 65018, 8878	185	61	16792	10.415950376606114	0.051595124501392586	0.05297236103427544	0.05297236103427544
GOTERM_CC_DIRECT	GO:0005654~nucleoplasm	50	17.793594306049823	1.2878330826052772E-4	8454, 9584, 2551, 3320, 79172, 29781, 26155, 1453, 515, 10131, 11066, 8602, 8888, 10213, 58517, 8928, 7298, 1153, 221037, 23414, 3292, 5708, 3326, 26121, 55215, 171568, 83860, 51535, 6878, 4670, 10273, 2175, 9088, 7182, 140890, 54973, 54812, 7975, 2803, 51747, 9970, 4000, 5499, 2067, 63935, 9295, 6619, 5928, 8878, 54623	192	2784	18224	1.7046815134099618	0.033927261754353455	0.021406862197131397	0.021406862197131397
GOTERM_CC_DIRECT	GO:0016020~membrane	42	14.94661921708185	1.5975270296366713E-4	23526, 9784, 58191, 4670, 8576, 116986, 3320, 9088, 29781, 57448, 57404, 6709, 54675, 953, 239, 515, 10131, 8602, 5216, 10015, 7112, 4141, 5870, 11010, 65018, 3099, 23215, 5590, 2316, 5708, 51296, 1621, 2677, 3326, 55215, 55379, 6238, 109, 54623, 10488, 3964, 11138	192	2200	18224	1.8120454545454545	0.04191343461136943	0.021406862197131397	0.021406862197131397
GOTERM_MF_DIRECT	GO:0044822~poly(A) RNA binding	27	9.608540925266903	2.800602846272259E-4	11083, 9584, 4670, 3320, 55760, 140890, 26155, 1399, 10131, 8602, 5216, 51106, 58517, 51747, 1153, 23215, 55052, 9295, 2316, 3326, 26121, 55379, 6238, 11333, 55119, 51535, 10643	187	1129	16881	2.1588694741927688	0.09566528184143264	0.08787043956925891	0.08787043956925891
PIR_SUPERFAMILY	PIRSF002583:heat shock protein, HSP90/HTPG types	3	1.0676156583629894	4.358743039598434E-4	3326, 10131, 3320	16	4	1692	79.3125	0.006518203615884288	0.006538114559397651	0.006538114559397651
GOTERM_MF_DIRECT	GO:0000166~nucleotide binding	13	4.6263345195729535	4.895289112493532E-4	9584, 7298, 4670, 1153, 3320, 29899, 9295, 140890, 11066, 109, 8888, 58517, 10643	187	348	16881	3.372257053291536	0.16120077869793936	0.08787043956925891	0.08787043956925891
UP_KEYWORDS	Isopeptide bond	25	8.896797153024911	4.920272622132372E-4	8454, 4670, 11162, 10273, 84617, 51341, 5216, 50, 58517, 51747, 4000, 1052, 23215, 23414, 2316, 5928, 2774, 55215, 140685, 10409, 6238, 51535, 83860, 109, 10643	209	1132	20581	2.174772177794309	0.12011016804754526	0.04264236272514722	0.041494299113316334
GOTERM_MF_DIRECT	GO:0030911~TPR domain binding	3	1.0676156583629894	0.001181460496037611	3326, 10273, 3320	187	5	16881	54.16363636363637	0.345834610582166	0.14138143935916744	0.14138143935916744
UP_KEYWORDS	mRNA splicing	10	3.558718861209965	0.0013560204427301031	9584, 140890, 4670, 26121, 11066, 55119, 58517, 58506, 51747, 9295	209	260	20581	3.7874493927125505	0.2972854915766169	0.061263539032129756	0.05961413605818779
UP_KEYWORDS	Cytoplasm	69	24.555160142348754	0.0013626937266490277	9784, 9146, 7444, 8576, 115677, 3320, 2744, 6709, 60312, 1453, 755, 10297, 239, 8888, 5216, 10015, 58517, 4141, 7298, 11076, 1153, 65018, 5590, 3292, 2316, 3326, 26000, 387885, 55653, 53635, 51535, 4216, 3964, 10190, 11083, 11162, 10273, 116986, 2175, 143570, 84617, 26019, 84817, 57524, 57448, 27102, 54973, 54812, 140459, 2803, 57409, 7112, 9970, 5499, 2067, 29899, 1130, 80179, 1400, 26146, 84138, 140545, 51477, 10123, 84971, 109, 8878, 10488, 10643	209	4816	20581	1.4108563560062948	0.2985053387192651	0.061263539032129756	0.05961413605818779
UP_KEYWORDS	Protein transport	16	5.6939501779359425	0.0014137739776645328	9784, 9146, 5870, 116986, 1130, 9382, 51296, 79856, 84138, 6238, 11154, 54812, 84971, 8888, 10015, 11018	209	610	20581	2.582916307161346	0.30777298288286814	0.061263539032129756	0.05961413605818779
GOTERM_MF_DIRECT	GO:0019904~protein domain specific binding	9	3.202846975088968	0.0021996711233194157	9146, 4670, 7444, 5870, 10409, 2067, 8928, 58506, 5590	187	208	16881	3.9060314685314683	0.5464055351199726	0.19742048331791756	0.19742048331791756
UP_KEYWORDS	Mitochondrion	23	8.185053380782918	0.002210833052735361	8564, 7298, 8303, 7444, 11162, 65018, 10939, 3099, 55052, 384, 80179, 55760, 2744, 81034, 284106, 54675, 755, 10352, 515, 10131, 51106, 84971, 50	209	1119	20581	2.024034617374536	0.43754994702399386	0.08211665624445627	0.0799058231917209
GOTERM_BP_DIRECT	GO:0008380~RNA splicing	8	2.8469750889679712	0.0023796632268095258	9584, 140890, 11066, 55119, 58517, 58506, 51747, 9295	185	166	16792	4.374340605665907	0.9045491799535066	1.0	1.0
UP_KEYWORDS	Neurodegeneration	10	3.558718861209965	0.0030509492610159648	4141, 4000, 10273, 953, 11154, 65018, 10939, 5216, 50, 8878	209	293	20581	3.3608765942159153	0.5481745528683344	0.09276105106800153	0.09026363815463226
UP_KEYWORDS	Nucleus	72	25.622775800711743	0.003210959460046207	9584, 7444, 92822, 8896, 254251, 2551, 115677, 79172, 55760, 29781, 26155, 1453, 11066, 8602, 8888, 58517, 8928, 10336, 7298, 11076, 1153, 221037, 29799, 23414, 26121, 144404, 55215, 140685, 55379, 171568, 53635, 83860, 51535, 6878, 84153, 10190, 11083, 4670, 11162, 10273, 116986, 2175, 143570, 7182, 140890, 51186, 51341, 54973, 79955, 84864, 7975, 51747, 57409, 7112, 9970, 4000, 5499, 2067, 57451, 1052, 63935, 9295, 6619, 5928, 84138, 11177, 55119, 8878, 54623, 10488, 58506, 10643	209	5244	20581	1.3520414308081417	0.5666426790075487	0.09276105106800153	0.09026363815463226
INTERPRO	IPR020575:Heat shock protein Hsp90, N-terminal	3	1.0676156583629894	0.003654102894517484	3326, 10131, 3320	193	9	18559	32.053540587219345	0.8150420350931878	0.971248295212437	0.971248295212437
GOTERM_BP_DIRECT	GO:0009651~response to salt stress	3	1.0676156583629894	0.004086967662522037	8564, 3326, 3320	185	9	16792	30.25585585585586	0.9823674270239248	1.0	1.0
GOTERM_BP_DIRECT	GO:0015031~protein transport	12	4.270462633451958	0.004284144190696211	51296, 79856, 84138, 116986, 6238, 11154, 54812, 1130, 84971, 10015, 9382, 11018	185	395	16792	2.7574957235716733	0.9854946911231746	1.0	1.0
INTERPRO	IPR001404:Heat shock protein Hsp90	3	1.0676156583629894	0.005507172231676483	3326, 10131, 3320	193	11	18559	26.225624116815826	0.9215915042842566	0.971248295212437	0.971248295212437
INTERPRO	IPR012677:Nucleotide-binding, alpha-beta plait	9	3.202846975088968	0.00632048782133907	9584, 140890, 4670, 1153, 11066, 8888, 58517, 10643, 9295	193	264	18559	3.2782030146019783	0.9462274419307041	0.971248295212437	0.971248295212437
SMART	SM00387:HATPase_c	3	1.0676156583629894	0.0064415818626250305	3326, 10131, 3320	114	11	10057	24.05980861244019	0.5119456176560399	0.5458226235157284	0.5458226235157284
GOTERM_CC_DIRECT	GO:0005737~cytoplasm	72	25.622775800711743	0.0064686061923303634	9784, 9146, 7444, 8576, 3320, 55760, 26155, 60312, 3038, 755, 10297, 239, 8888, 5216, 10015, 58517, 4141, 7298, 25917, 11076, 1153, 65018, 23414, 5590, 3292, 2316, 1621, 3326, 387885, 55215, 388697, 51535, 6878, 4216, 10225, 10190, 11083, 10273, 2175, 143570, 84617, 26019, 57524, 147968, 27102, 54973, 84864, 10352, 54812, 140459, 2803, 57409, 7112, 9970, 4000, 5499, 2067, 29899, 1130, 80179, 1400, 26146, 10409, 84138, 51477, 10123, 84971, 109, 8878, 54623, 10488, 10643	192	5222	18224	1.3086939869781693	0.8243422362129709	0.5778621531815125	0.5778621531815125
UP_KEYWORDS	mRNA processing	10	3.558718861209965	0.0068323695370103715	9584, 140890, 4670, 26121, 11066, 55119, 58517, 58506, 51747, 9295	209	332	20581	2.966074825618262	0.8317850123665196	0.17764160796226966	0.17285894928636242
UP_SEQ_FEATURE	compositionally biased region:Arg-rich	7	2.491103202846975	0.007346767423914578	11083, 26146, 11066, 55119, 58517, 58506, 23215	205	167	20063	4.102263765152622	0.9975989286546055	1.0	1.0
UP_SEQ_FEATURE	short sequence motif:Nuclear localization signal	10	3.558718861209965	0.008871690261286078	7112, 11083, 4000, 8896, 2067, 2175, 51535, 29799, 23414, 63935	205	344	20063	2.8450085082246175	0.9993172797824904	1.0	1.0
UP_KEYWORDS	Transport	32	11.387900355871885	0.009261703084329505	9784, 9146, 6550, 116986, 245973, 9382, 56172, 81034, 353174, 79856, 150159, 6524, 515, 54812, 8888, 10015, 5870, 100128327, 1130, 27039, 55630, 51296, 124976, 116444, 84138, 6238, 11154, 10123, 84971, 10861, 11018, 10643	209	1978	20581	1.5931030812623064	0.9110128610415893	0.21891298199324286	0.21301917093957862
INTERPRO	IPR000504:RNA recognition motif domain	8	2.8469750889679712	0.009288695713638995	9584, 140890, 4670, 1153, 11066, 58517, 10643, 9295	193	226	18559	3.4039158145719655	0.986459908457536	1.0	1.0
SMART	SM00360:RRM	8	2.8469750889679712	0.00983464186514826	9584, 140890, 4670, 1153, 11066, 58517, 10643, 9295	114	212	10057	3.329030122476001	0.6661450538890362	0.5458226235157284	0.5458226235157284
GOTERM_MF_DIRECT	GO:0005515~protein binding	114	40.569395017793596	0.009994033343253815	9584, 7444, 8896, 254251, 55281, 2551, 115677, 29781, 26155, 1453, 755, 239, 515, 10131, 9736, 84167, 10015, 8928, 11076, 10939, 65018, 3099, 221037, 55052, 2316, 5708, 2312, 55215, 51535, 83860, 6878, 4216, 10190, 90864, 116986, 2175, 7182, 9088, 26019, 4629, 57524, 140890, 79955, 7975, 57409, 8322, 4000, 2067, 1130, 29899, 1400, 26146, 10409, 11177, 140545, 90326, 10123, 10488, 10643, 9784, 9146, 23526, 8454, 6550, 8694, 92822, 8576, 3320, 79172, 9382, 2744, 55760, 6709, 953, 10297, 5216, 10213, 58517, 10336, 5870, 1153, 84904, 23414, 5590, 81888, 3326, 26121, 144404, 26000, 3964, 197335, 4670, 10273, 84817, 57448, 1399, 51341, 54973, 51106, 92714, 140459, 2803, 51747, 5499, 1052, 55152, 9295, 6619, 5928, 56246, 51477, 54623, 8878, 11018	187	8785	16881	1.171438919646091	0.9728372006157543	0.7175715940456239	0.7175715940456239
UP_SEQ_FEATURE	compositionally biased region:Glu-rich	9	3.202846975088968	0.010252559023070977	51186, 3320, 54623, 26019, 58517, 58506, 23215, 2803, 51747	205	292	20063	3.016488473103909	0.999781752634117	1.0	1.0
UP_SEQ_FEATURE	splice variant	96	34.16370106761566	0.012674472294909155	9146, 9584, 4054, 7444, 92822, 254251, 115677, 3320, 348094, 245973, 79172, 116372, 2744, 55760, 29781, 6709, 353174, 1453, 150159, 953, 755, 10297, 11066, 8602, 9736, 84167, 58517, 10336, 23080, 5870, 692224, 100128327, 65018, 221037, 84904, 23215, 653857, 23414, 2316, 81888, 26121, 26000, 55215, 171568, 55653, 53635, 6238, 51535, 6878, 4216, 197335, 8938, 3964, 84153, 10225, 11083, 4670, 11162, 10273, 116986, 23101, 2175, 143570, 26019, 140890, 80781, 27102, 54973, 79955, 84864, 54812, 2803, 51747, 57409, 8564, 7112, 9970, 4000, 1130, 27039, 55152, 80179, 55630, 26146, 10409, 56246, 11177, 140545, 51477, 90326, 55119, 8878, 54623, 10488, 11138, 10643	205	7760	20063	1.2107417651496102	0.9999705842852927	1.0	1.0
GOTERM_BP_DIRECT	GO:0031396~regulation of protein ubiquitination	3	1.0676156583629894	0.012954604365433458	3326, 3320, 65018	185	16	16792	17.01891891891892	0.9999973914018725	1.0	1.0
UP_KEYWORDS	Nucleotide-binding	29	10.320284697508896	0.013416572707099587	7444, 8576, 116986, 3320, 9088, 84617, 10998, 4629, 55760, 27102, 1453, 953, 10352, 10131, 7975, 4141, 5870, 65018, 10939, 29899, 3099, 653857, 5590, 80179, 3326, 2774, 10123, 109, 4216	209	1788	20581	1.5971682562109975	0.9701604597669375	0.2906924086538244	0.28286607457468294
GOTERM_MF_DIRECT	GO:0098641~cadherin binding involved in cell-cell adhesion	9	3.202846975088968	0.015241503466763616	10190, 2316, 7112, 6709, 3326, 1399, 55379, 1453, 5216	187	290	16881	2.801567398119122	0.9959693467171987	0.911949957428023	0.911949957428023
GOTERM_CC_DIRECT	GO:0005829~cytosol	48	17.08185053380783	0.01571738128590574	23526, 9784, 9146, 8454, 10273, 3320, 245973, 79172, 9088, 26019, 84817, 4629, 2744, 6709, 1399, 1453, 84864, 239, 54812, 5216, 8888, 9736, 10015, 10213, 2803, 8564, 4141, 7298, 9970, 4000, 5870, 5499, 65018, 3099, 5590, 3292, 2316, 5708, 3326, 1400, 26000, 171568, 51477, 84971, 8878, 10488, 3964, 10643	192	3315	18224	1.3743589743589744	0.9856744700085047	0.6677641276406673	0.6677641276406673
UP_SEQ_FEATURE	cross-link:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in ubiquitin)	8	2.8469750889679712	0.015728809903918863	8454, 5928, 11162, 55215, 140685, 5216, 50, 58517	205	255	20063	3.0703778096604495	0.999997667161826	1.0	1.0
GOTERM_CC_DIRECT	GO:0070062~extracellular exosome	42	14.94661921708185	0.01587229221158496	9146, 6550, 4054, 4670, 10273, 116986, 3320, 245973, 84617, 84817, 4629, 80781, 6709, 1399, 953, 239, 6524, 515, 10131, 5216, 92714, 10015, 10213, 2803, 8322, 8564, 4141, 5870, 5499, 653857, 5590, 55630, 2316, 5708, 3425, 3326, 2774, 388697, 10409, 8878, 3964, 79729	192	2811	18224	1.4181785841337604	0.9862661873687536	0.6677641276406673	0.6677641276406673
GOTERM_BP_DIRECT	GO:0061436~establishment of skin barrier	3	1.0676156583629894	0.016282268996079333	2312, 388697, 239	185	18	16792	15.12792792792793	0.9999999066074139	1.0	1.0
GOTERM_CC_DIRECT	GO:0005681~spliceosomal complex	5	1.7793594306049825	0.01716155908482629	55760, 140890, 4670, 8896, 58517	192	94	18224	5.048758865248227	0.990334774308459	0.6677641276406673	0.6677641276406673
GOTERM_CC_DIRECT	GO:0005913~cell-cell adherens junction	9	3.202846975088968	0.02083567178202226	10190, 2316, 7112, 6709, 3326, 1399, 55379, 1453, 5216	192	323	18224	2.6447368421052633	0.9964576102329691	0.6677641276406673	0.6677641276406673
GOTERM_MF_DIRECT	GO:0002135~CTP binding	2	0.7117437722419928	0.021915851721340168	3326, 3320	187	2	16881	90.27272727272727	0.999649197143804	1.0	1.0
UP_KEYWORDS	Cytoskeleton	20	7.11743772241993	0.022103223741681485	10190, 11083, 9970, 11076, 115677, 29899, 84617, 80179, 2316, 57448, 6709, 1400, 387885, 60312, 26146, 1453, 755, 10297, 5216, 10015	209	1138	20581	1.73064471371751	0.9970064690515713	0.4261108554193576	0.41463864008114415
GOTERM_CC_DIRECT	GO:0005759~mitochondrial matrix	9	3.202846975088968	0.022317540246849815	2744, 7298, 10352, 515, 10131, 51106, 84971, 50, 384	192	327	18224	2.612385321100917	0.9976394306661583	0.6677641276406673	0.6677641276406673
UP_KEYWORDS	Ubl conjugation	27	9.608540925266903	0.022944430676426947	9146, 8454, 4670, 10273, 3320, 57448, 51341, 5216, 58517, 51747, 8322, 4000, 1052, 23215, 23414, 2316, 5928, 3326, 2774, 55215, 140685, 10409, 6238, 51535, 83860, 109, 10643	209	1705	20581	1.5594073159438187	0.997606635765103	0.4261108554193576	0.41463864008114415
UP_KEYWORDS	Methylation	18	6.405693950177936	0.02569508914863891	8454, 7112, 11083, 4670, 4000, 5870, 23215, 57524, 4629, 1400, 26000, 1453, 388697, 11333, 8888, 6878, 10015, 23080	209	1001	20581	1.7707555602292444	0.9988500689389143	0.4393063279824434	0.42747884992137763
UP_KEYWORDS	Mitochondrion outer membrane	5	1.7793594306049825	0.027034235568150364	80179, 8564, 8303, 65018, 3099	209	112	20581	4.396146616541354	0.9991957975993969	0.4393063279824434	0.42747884992137763
GOTERM_CC_DIRECT	GO:0071011~precatalytic spliceosome	3	1.0676156583629894	0.027988324613945455	26121, 11066, 55119	192	25	18224	11.39	0.9995034567913518	0.6677641276406673	0.6677641276406673
