ID	Description	GeneRatio	BgRatio	pvalue	p_adjust	qvalue	geneID	Count	GO	Sample
GO:0019787	ubiquitin-like protein transferase activity	208/4582	460/17354	1.07206594327621e-18	1.18677699920677e-15	9.59216896615557e-16	51564/9817/27252/997/22888/79176/7126/23220/83892/7337/23276/84085/7844/26994/54850/8554/9040/6737/84246/23608/7428/255488/580/3093/8924/51283/23295/51588/54926/867/79594/51665/9477/54467/8535/55527/151230/57574/55016/6502/153830/117854/55294/9412/5903/64795/9320/9443/571/10444/55585/55658/115290/92591/400569/899/84447/150726/64320/151636/5469/55128/55295/332/92305/10296/11236/25948/85363/149603/81844/10116/26263/55167/26262/79102/79791/115992/6478/64777/6047/117584/80829/7706/165918/7334/63893/5930/57674/223082/29882/9810/54461/91445/84231/80311/80176/84282/84861/6468/10293/51132/11065/11237/144699/26234/7332/8805/10193/7327/6049/118424/54778/10892/246330/26224/9870/51592/57162/55958/11060/10210/65264/55159/80196/26046/9666/55298/81559/51514/4194/81847/143384/26235/27246/8266/8945/26036/7335/127544/9025/54797/23352/8451/283450/9903/84078/89890/25820/57542/10616/80028/56254/64718/7341/11342/10401/868/23072/54880/81858/25831/8454/22954/23759/54737/8315/57448/6872/10075/23014/331/26267/80204/89910/79872/51255/10206/8925/79699/10425/220972/26261/4193/25827/64219/54620/286827/221687/26190/126433/25897/154214/7189/329/7186/55743/4850/84133/7187/90850/79786/10273/6477/147339/29128/51070/8916	208	MF	group1
GO:0004842	ubiquitin-protein transferase activity	199/4582	437/17354	2.36887105241311e-18	1.31117012751066e-15	1.05975810239534e-15	9817/27252/997/22888/79176/7126/23220/83892/7337/23276/84085/7844/26994/54850/9040/6737/84246/23608/7428/255488/580/3093/8924/51283/23295/54926/867/79594/51665/9477/54467/55527/151230/57574/55016/6502/153830/117854/55294/9412/64795/9320/9443/571/10444/55585/55658/115290/92591/400569/899/84447/150726/64320/151636/5469/55128/55295/332/92305/10296/11236/25948/85363/149603/81844/10116/26263/55167/26262/79102/79791/115992/6478/64777/6047/117584/80829/7706/165918/7334/63893/5930/57674/223082/29882/9810/54461/91445/84231/80311/80176/84282/84861/6468/10293/51132/11065/11237/144699/26234/7332/8805/10193/7327/6049/118424/54778/10892/246330/26224/9870/51592/57162/55958/11060/10210/65264/55159/80196/26046/9666/55298/81559/51514/4194/81847/143384/26235/27246/8945/7335/127544/9025/54797/23352/8451/283450/9903/84078/89890/25820/57542/10616/80028/56254/64718/11342/868/23072/54880/81858/25831/8454/22954/23759/54737/8315/57448/6872/10075/23014/331/26267/80204/89910/79872/51255/10206/8925/79699/10425/220972/26261/4193/25827/64219/54620/286827/221687/26190/126433/25897/154214/7189/329/7186/55743/4850/84133/7187/90850/79786/10273/6477/147339/29128/51070/8916	199	MF	group1
GO:0045296	cadherin binding	144/4582	304/17354	2.27388972039423e-15	8.39065306825471e-13	6.78177635907051e-13	9052/2036/2802/7414/83874/85377/4627/10598/1983/128866/30844/5216/55379/11329/2023/471/56829/79637/11135/3337/23647/829/11252/822/1656/867/3655/7531/118/57410/6282/1956/114793/4690/9208/6159/5093/114990/2194/1627/3054/392/5499/8851/23164/1453/22905/7094/2011/7706/57142/3927/64787/10938/8607/5339/3309/5062/10528/682/8971/6711/55742/23367/2810/1982/5318/5962/7082/1981/2017/7529/1399/5663/6709/85456/1969/2316/1500/50848/8407/9531/5586/26135/5770/64855/55357/22837/23670/6520/79026/7223/5214/10458/151963/10755/57175/90102/55898/7534/1499/1654/55082/832/5905/5861/1936/3939/6147/3688/9351/55324/5902/989/6714/23075/28988/9414/26130/83939/2317/10652/831/11336/9685/50807/22827/9793/3312/6712/9973/23042/23085/5901/9798/23499/51474/7112/57496/5797/10801/7408/10298/1938	144	MF	group1
GO:0031625	ubiquitin protein ligase binding	136/4582	299/17354	6.47836583263884e-13	1.7928877441828e-10	1.44910814677448e-10	1741/7414/997/22888/57761/7466/8554/4738/22903/55643/91/9470/10010/8737/3093/8924/23197/4092/4087/8312/9618/51588/54926/79594/2932/7531/22794/9820/5371/81631/1956/11160/55294/84959/29761/4091/92591/7855/10152/3313/55626/64112/9529/10576/10067/5036/10221/114781/117584/55432/811/54472/5187/637/4281/57142/7334/666/55175/63893/65018/29882/3309/9810/4088/3301/55666/71/11065/10376/3091/2185/155061/7332/7327/118424/7415/65264/80196/23381/22926/143384/3725/7335/958/9682/9025/8451/8878/6497/25820/10670/3329/56254/7341/841/8405/6790/7534/5829/596/875/5905/5970/11078/8454/54737/10188/408/10613/9530/25841/5576/8517/55070/10013/9927/6714/324/4193/4090/340061/8323/55709/7189/79899/8322/3312/90135/7186/4055/7009/4157/7187/10273/5573	136	MF	group1
GO:0044389	ubiquitin-like protein ligase binding	140/4582	313/17354	1.42063929441922e-12	3.14529539784415e-10	2.5421966321186e-10	1741/7414/997/22888/57761/7466/8554/4738/22903/55643/91/9470/10010/8737/3093/8924/23197/4092/4087/8312/9618/51588/54926/79594/2932/7531/22794/9820/5371/81631/1956/11160/55294/84959/29761/4091/92591/7855/10152/151636/3313/55626/64112/9529/10576/10067/1051/5036/10221/114781/6773/117584/55432/811/54472/5187/637/4281/57142/7334/666/55175/63893/65018/29882/3309/9810/4088/3301/55666/71/11065/10376/3091/2185/155061/7332/7327/118424/7415/65264/80196/23381/22926/143384/3725/7335/958/9682/9025/8451/8878/6497/25820/10670/3329/56254/7341/841/8405/6790/7534/5829/596/875/5905/5970/11078/8454/54737/10188/408/10613/9530/25841/5576/8517/55070/10013/9927/6714/324/4193/4090/340061/8323/55709/7189/79899/8322/3312/90135/7186/4055/7009/4157/7187/10273/80279/5573	140	MF	group1
GO:0061659	ubiquitin-like protein ligase activity	110/4582	231/17354	2.96621469779662e-12	5.47266611743477e-10	4.42330261952128e-10	997/22888/7337/84085/7844/26994/8554/84246/23608/7428/255488/3093/8924/51283/23295/51588/54926/867/51665/9477/54467/55016/6502/153830/117854/9412/9320/9443/55658/400569/84447/64320/5469/92305/11236/55167/79102/115992/6047/117584/7706/7334/63893/5930/223082/29882/91445/10293/51132/11065/11237/8805/10193/7327/6049/118424/54778/246330/9870/57162/11060/10210/65264/80196/26046/9666/55298/81559/4194/81847/143384/27246/8945/26036/7335/127544/54797/8451/283450/25820/11342/868/23072/25831/8454/22954/23759/8315/10075/331/89910/79872/51255/10206/10425/4193/64219/286827/25897/154214/7189/55743/84133/90850/10273/6477/147339/29128/51070/8916	110	MF	group1
GO:0061630	ubiquitin protein ligase activity	107/4582	226/17354	9.16306008676376e-12	1.4490725022925e-09	1.17121820657883e-09	997/22888/7337/84085/7844/26994/84246/23608/7428/255488/3093/8924/51283/23295/54926/867/51665/9477/54467/55016/6502/153830/117854/9412/9320/9443/55658/400569/84447/64320/5469/92305/11236/55167/79102/115992/6047/117584/7706/7334/63893/5930/223082/29882/91445/10293/51132/11065/11237/8805/10193/7327/6049/118424/54778/246330/9870/57162/11060/10210/65264/80196/26046/9666/55298/81559/4194/81847/143384/27246/8945/7335/127544/54797/8451/283450/25820/11342/868/23072/25831/8454/22954/23759/8315/10075/331/89910/79872/51255/10206/10425/4193/64219/286827/25897/154214/7189/55743/84133/90850/10273/6477/147339/29128/51070/8916	107	MF	group1
GO:0003714	transcription corepressor activity	103/4582	223/17354	1.35391300003259e-10	1.87347711379509e-08	1.51424480266802e-08	51564/29995/4335/23411/57761/2077/595/2004/23309/8554/4294/5914/3337/3975/10514/8553/55729/23186/84962/51588/10664/9611/57649/8535/8531/7342/115950/23528/4783/4665/1877/3726/4204/79039/23613/6478/22882/8092/8204/6935/10782/5932/10766/9425/51132/10608/1488/473/7290/9541/9139/7529/64324/5195/1822/6597/54856/8861/55758/10765/10370/57326/9096/51684/1810/26036/7088/7536/11278/6497/10771/10284/1487/9318/51460/25942/11244/7068/54880/121536/2909/9612/28996/6907/4796/284252/23051/3281/8994/3192/10443/440498/23429/10140/862/10413/23741/1649/9994/7050/708/22809/10409	103	MF	group1
GO:0140098	catalytic activity, acting on RNA	151/4582	364/17354	2.03371410510526e-10	2.50146834927946e-08	2.02182104016312e-08	24140/51493/8846/79650/27161/221830/56919/1655/55703/4848/23438/6301/10352/57696/57505/79922/81890/27037/91574/3508/23318/65080/54606/5082/96764/51163/10436/16/57472/4141/55798/5976/79066/84172/25885/1656/54888/9477/23395/9785/28987/9775/55520/5433/129563/79670/64852/92935/9412/55760/10569/56339/55718/55308/51082/10248/26015/51634/9836/2237/79039/55006/64118/9416/57647/10849/54931/56257/7015/5511/81875/54512/115752/3735/56931/10667/10212/4234/55039/9704/10785/51428/57062/55794/283989/60528/51367/23405/54487/9188/6832/23381/55157/51093/80222/11218/25973/114034/64794/23404/9533/80149/8565/92675/10557/833/255967/10171/57721/115708/51651/51520/10521/1654/10940/9924/151903/117246/91801/2081/55152/5435/11102/80746/22907/54938/124454/25917/23070/80745/79068/201626/170506/3035/9879/152992/167227/90459/5441/4839/11232/1659/54890/8731/23293/283459/11269/54920/11325/10775/2193	151	MF	group1
GO:0140030	modification-dependent protein binding	65/4582	124/17354	5.88694809189017e-10	6.51685153772242e-08	5.26726934537542e-08	83746/2956/54454/23378/23476/7158/57332/8535/55023/1105/222229/254225/3622/8019/55689/124997/84733/23613/84875/6879/84289/165918/84126/65980/10498/9425/79184/23133/3621/9031/8805/6597/11091/7415/5253/54764/9666/5710/56957/9682/546/10927/8878/51720/148479/11176/4300/10771/5927/83932/81858/57680/11137/54737/23198/6872/8517/10013/10318/4297/23118/22823/22890/84656/29128	65	MF	group1
