bins	meanCoverage	standardError	feature	Sample
1	0.0755348712625975	0.0056498485679557	upstream	group1
2	0.0750326447249473	0.00558812477917581	upstream	group1
3	0.0753004988783607	0.00561222668372802	upstream	group1
4	0.0744634546489437	0.00554012606867123	upstream	group1
5	0.0728898114976395	0.00547375357126554	upstream	group1
6	0.0719523219606924	0.00541859288706807	upstream	group1
7	0.0708474235778619	0.0053818183675402	upstream	group1
8	0.0708139418086852	0.00539379739972465	upstream	group1
9	0.0699434158100914	0.00538106855369087	upstream	group1
10	0.0690059262731443	0.00534782918558675	upstream	group1
11	0.0695416345799712	0.00540680659711222	upstream	group1
12	0.0700103793484448	0.00542316678186604	upstream	group1
13	0.0710148324237453	0.00537976518953205	upstream	group1
14	0.0696085981183246	0.00531012054753718	upstream	group1
15	0.0681688820437272	0.005215425915534	upstream	group1
16	0.0681354002745505	0.00521511812784405	upstream	group1
17	0.0672983560451334	0.00511247110771852	upstream	group1
18	0.0667961295074832	0.00514166299520431	upstream	group1
19	0.0669970201225433	0.00515638084716035	upstream	group1
20	0.0664278300465397	0.00513560516913706	upstream	group1
21	0.0712157230388054	0.00547879006182075	upstream	group1
22	0.0703117152710349	0.0054274789733144	upstream	group1
23	0.0706800147319784	0.00552283842668637	upstream	group1
24	0.0700773428867981	0.00555951153990893	upstream	group1
25	0.0679679914286671	0.00550028416891744	upstream	group1
26	0.0639166973582884	0.0052975122673829	upstream	group1
27	0.0622760906686309	0.00522776657716065	upstream	group1
28	0.0621086818227475	0.00524014916195247	upstream	group1
29	0.0639836608966418	0.00536185062192201	upstream	group1
30	0.0647872233568822	0.00547634560098971	upstream	group1
31	0.063849733819935	0.00545209529455099	upstream	group1
32	0.0633140255131081	0.00544263206576768	upstream	group1
33	0.0634144708206382	0.0054334190598851	upstream	group1
34	0.0710148324237453	0.00561170014289402	upstream	group1
35	0.0757357618776576	0.00606655887497339	upstream	group1
36	0.0756353165701276	0.0060779549884904	upstream	group1
37	0.0747313088023571	0.00602581476716159	upstream	group1
38	0.0752670171091841	0.00601590908948483	upstream	group1
39	0.0757692436468343	0.00603346882238227	upstream	group1
40	0.0775102956440218	0.00612054456283581	upstream	group1
41	0.0740281916496468	0.00587472484923199	upstream	group1
42	0.0749991629557706	0.00591700142400286	upstream	group1
43	0.0745638999564737	0.00585672334993689	upstream	group1
44	0.0748652358790639	0.00587465592761929	upstream	group1
45	0.0742290822647069	0.0056467563522846	upstream	group1
46	0.0731241838818763	0.00556656160277837	upstream	group1
47	0.073157665651053	0.00555374366105817	upstream	group1
