V1	N	Sample
3prime_overlapping_ncrna	6	group1
antisense	2528	group1
lincRNA	747	group1
miRNA	87	group1
misc_RNA	45	group1
non_stop_decay	20	group1
nonsense_mediated_decay	10816	group1
polymorphic_pseudogene	6	group1
processed_pseudogene	94	group1
processed_transcript	7898	group1
protein_coding	114984	group1
pseudogene	187	group1
retained_intron	7344	group1
rRNA	3	group1
sense_intronic	69	group1
sense_overlapping	57	group1
snoRNA	27	group1
snRNA	33	group1
transcribed_processed_pseudogene	18	group1
transcribed_unprocessed_pseudogene	39	group1
unitary_pseudogene	1	group1
unprocessed_pseudogene	56	group1
