bases	meanCoverage	standardError	feature	Sample
-100	0.0143356083906138	0.000151119046075978	5PSS	group1
-99	0.0143824779107184	0.00015136228352836	5PSS	group1
-98	0.0143307598195685	0.000151093859890708	5PSS	group1
-97	0.0142628798249343	0.000150740784973597	5PSS	group1
-96	0.0141933836399516	0.000150378393379938	5PSS	group1
-95	0.0142192426855265	0.00015051334475112	5PSS	group1
-94	0.0142564150635405	0.000150707113073013	5PSS	group1
-93	0.0142063131627391	0.000150445885095053	5PSS	group1
-92	0.0141481303101954	0.000150141919287684	5PSS	group1
-91	0.014109341741833	0.000149938912800647	5PSS	group1
-90	0.0140770179348643	0.000149769518128793	5PSS	group1
-89	0.0140479265085925	0.000149616889296532	5PSS	group1
-88	0.0140042893691847	0.000149387636492693	5PSS	group1
-87	0.0139784303236098	0.000149251607083668	5PSS	group1
-86	0.0139267122324599	0.000148979153887489	5PSS	group1
-85	0.0139283284228083	0.000148987676030697	5PSS	group1
-84	0.013986511275352	0.000149294130365827	5PSS	group1
-83	0.0139299446131568	0.00014899619765813	5PSS	group1
-82	0.0138911560447943	0.000148791536066372	5PSS	group1
-81	0.0139040855675818	0.000148859789676573	5PSS	group1
-80	0.0138976208061881	0.000148825667011164	5PSS	group1
-79	0.0139218636614146	0.00014895358436233	5PSS	group1
-78	0.0139105503289755	0.000148893904068291	5PSS	group1
-77	0.0138652969992194	0.000148654929379305	5PSS	group1
-76	0.0138410541439929	0.000148526739892206	5PSS	group1
-75	0.0138442865246897	0.0001485438385849	5PSS	group1
-74	0.0138733779509616	0.000148697633231081	5PSS	group1
-73	0.0138345893825991	0.000148492536258994	5PSS	group1
-72	0.0137456989134352	0.000148021388565297	5PSS	group1
-71	0.0137117589161181	0.000147841076930753	5PSS	group1
-70	0.0136341817793933	0.000147428060522712	5PSS	group1
-69	0.0135759989268496	0.000147117493910205	5PSS	group1
-68	0.0135808474978949	0.000147143400917658	5PSS	group1
-67	0.0136131713048636	0.000147315991278302	5PSS	group1
-66	0.0135630694040621	0.000147048384979447	5PSS	group1
-65	0.0134660979831561	0.000146528970277966	5PSS	group1
-64	0.0134402389375811	0.000146390130901701	5PSS	group1
-63	0.0134273094147936	0.000146320659041081	5PSS	group1
-62	0.0134079151306124	0.000146216385895109	5PSS	group1
-61	0.013357813229811	0.000145946649505962	5PSS	group1
-60	0.0133109437097064	0.000145711765577982	5PSS	group1
-59	0.0132608418089049	0.000145441039329508	5PSS	group1
-58	0.0132543770475111	0.000145406068162241	5PSS	group1
-57	0.013257609428208	0.000145423554855159	5PSS	group1
-56	0.0132414475247237	0.000145336099188867	5PSS	group1
-55	0.0131913456239222	0.00014506463306408	5PSS	group1
-54	0.0131945780046191	0.000145082163179685	5PSS	group1
-53	0.0131767999107863	0.000144985719873076	5PSS	group1
-52	0.013123465629288	0.000144695983081725	5PSS	group1
-51	0.0131008389644099	0.000144572879412314	5PSS	group1
-50	0.0130006351628069	0.000144026372175547	5PSS	group1
-49	0.012986089449671	0.000143946858654314	5PSS	group1
-48	0.0129796246882773	0.000143911504447033	5PSS	group1
-47	0.0129198256453852	0.000143584043050872	5PSS	group1
-46	0.0128955827901587	0.00014345106400372	5PSS	group1
-45	0.0128325513665698	0.000143104709111876	5PSS	group1
-44	0.0127549742298449	0.000142677210170432	5PSS	group1
-43	0.012714569471134	0.000142454019334915	5PSS	group1
-42	0.0127355799456637	0.00014257012448428	5PSS	group1
-41	0.0126806294738169	0.00014226625410696	5PSS	group1
-40	0.0126483056668482	0.000142087187213157	5PSS	group1
-39	0.0126450732861514	0.000142069267456575	5PSS	group1
