bases	meanCoverage	standardError	Sample	feature
-100	0.0126928281461434	0.000582376713649929	group1	Translation start site
-99	0.0129905277401894	0.000589077877181567	group1	Translation start site
-98	0.0129905277401894	0.000589077877181567	group1	Translation start site
-97	0.0130175913396482	0.000589683096045893	group1	Translation start site
-96	0.0130717185385656	0.000590891573454544	group1	Translation start site
-95	0.0131799729364005	0.000593300742847393	group1	Translation start site
-94	0.0134235453315291	0.000598683991698169	group1	Translation start site
-93	0.0134506089309878	0.000599278980074036	group1	Translation start site
-92	0.0133694181326116	0.000597492137933269	group1	Translation start site
-91	0.0136400541271989	0.000603426552426625	group1	Translation start site
-90	0.0138836265223275	0.000608715277285869	group1	Translation start site
-89	0.0140189445196211	0.000611632563435037	group1	Translation start site
-88	0.0140730717185386	0.000612795362803837	group1	Translation start site
-87	0.014424898511502	0.000620297313653627	group1	Translation start site
-86	0.014424898511502	0.000620297313653627	group1	Translation start site
-85	0.014722598105548	0.000626570790403094	group1	Translation start site
-84	0.0148037889039242	0.000628270204264017	group1	Translation start site
-83	0.0149661705006766	0.000631654468428339	group1	Translation start site
-82	0.0153721244925575	0.000640031966430637	group1	Translation start site
-81	0.0155615696887686	0.000643901795500931	group1	Translation start site
-80	0.015723951285521	0.000647199180821108	group1	Translation start site
-79	0.0158322056833559	0.000649387525551103	group1	Translation start site
-78	0.0161569688768606	0.000655905853298605	group1	Translation start site
-77	0.0164276048714479	0.000661285416732156	group1	Translation start site
-76	0.0165087956698241	0.000663994216813622	group1	Translation start site
-75	0.0166982408660352	0.000667716457981853	group1	Translation start site
-74	0.0168335588633288	0.0006703616607758	group1	Translation start site
-73	0.0168335588633288	0.0006703616607758	group1	Translation start site
-72	0.0168064952638701	0.000669833515087341	group1	Translation start site
-71	0.0167794316644114	0.00066930492302427	group1	Translation start site
-70	0.016914749661705	0.000671943430114537	group1	Translation start site
-69	0.0171312584573748	0.000676142101151769	group1	Translation start site
-68	0.0173477672530447	0.000680312995089283	group1	Translation start site
-67	0.0174830852503383	0.000682905924528462	group1	Translation start site
-66	0.0174560216508796	0.000682388184946189	group1	Translation start site
-65	0.017510148849797	0.000683423242882534	group1	Translation start site
-64	0.0175372124492558	0.000683940140964232	group1	Translation start site
-63	0.0175642760487145	0.000684456619725716	group1	Translation start site
-62	0.0178619756427605	0.000690110479678507	group1	Translation start site
-61	0.017807848443843	0.000689086214488365	group1	Translation start site
-60	0.0177537212449256	0.000688060309311663	group1	Translation start site
-59	0.0177266576454668	0.000687546739434687	group1	Translation start site
-58	0.0178890392422192	0.000690621999559329	group1	Translation start site
-57	0.0178890392422192	0.000690621999559329	group1	Translation start site
-56	0.0178890392422192	0.000690621999559329	group1	Translation start site
-55	0.0180514208389716	0.000693682597727896	group1	Translation start site
-54	0.0182679296346414	0.000697740921144566	group1	Translation start site
-53	0.0184303112313938	0.000700768052138644	group1	Translation start site
-52	0.0183761840324763	0.000699760576813479	group1	Translation start site
-51	0.0184844384303112	0.000701773968133896	group1	Translation start site
-50	0.0185656292286874	0.000703279933016972	group1	Translation start site
-49	0.0187550744248985	0.000706780390826354	group1	Translation start site
-48	0.018809201623816	0.000707777089772586	group1	Translation start site
-47	0.0188633288227334	0.000708772275257434	group1	Translation start site
-46	0.0189445196211096	0.000710262229658331	group1	Translation start site
-45	0.0189174560216509	0.000709765953647113	group1	Translation start site
-44	0.0189715832205683	0.000710758131262626	group1	Translation start site
-43	0.0190798376184032	0.000712738009231777	group1	Translation start site
-42	0.0191880920162382	0.000714711958845526	group1	Translation start site
-41	0.0194316644113667	0.000719131922553477	group1	Translation start site
-40	0.0196211096075778	0.000722549443307026	group1	Translation start site
-39	0.0196752368064953	0.00072352266628985	group1	Translation start site
-38	0.0198105548037889	0.000725949537751352	group1	Translation start site
-37	0.0198376184032476	0.000726433857256742	group1	Translation start site
-36	0.02	0.000729332449607025	group1	Translation start site
-35	0.0201082543978349	0.000731257919286197	group1	Translation start site
-34	0.020297699594046	0.000734614308649019	group1	Translation start site
-33	0.0201623815967524	0.000732218592961008	group1	Translation start site
-32	0.0200811907983762	0.000730777068174966	group1	Translation start site
-31	0.0200811907983762	0.000730777068174966	group1	Translation start site
-30	0.0202435723951286	0.000733657042201588	group1	Translation start site
-29	0.0204871447902571	0.000737954116307543	group1	Translation start site
-28	0.0206495263870095	0.000740803780933036	group1	Translation start site
-27	0.0204059539918809	0.00073652478608714	group1	Translation start site
-26	0.0204330175913396	0.000737001564393274	group1	Translation start site
