Annotation Cluster 1	Enrichment Score: 2.0389579489268073
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0036297~interstrand cross-link repair	6	1.8181818181818181	3.634236477344422E-4	80233, 199990, 55215, 2067, 2175, 55120	212	49	16792	9.698883326915672	0.3155363631307011	0.3790508645870232	0.3790508645870232
GOTERM_CC_DIRECT	GO:0043240~Fanconi anaemia nuclear complex	4	1.2121212121212122	7.000251353941648E-4	80233, 199990, 2175, 55120	220	15	18224	22.089696969696966	0.1774741798890591	0.09765350638748599	0.09695348125209183
KEGG_PATHWAY	hsa03460:Fanconi anemia pathway	5	1.5151515151515151	0.004184022284081429	80233, 55215, 2067, 2175, 55120	87	53	6879	7.459336369551074	0.5376694477731194	0.769860100270983	0.769860100270983
UP_KEYWORDS	Fanconi anemia	3	0.9090909090909091	0.020481588107771547	55215, 2175, 55120	242	19	20581	13.42822966507177	0.9970788472403326	0.3720080085118971	0.36673129917130276
UP_KEYWORDS	DNA damage	9	2.727272727272727	0.055930952056620686	80233, 199990, 55215, 10273, 2067, 11011, 2175, 55120, 10213	242	352	20581	2.174457644628099	0.9999999106570913	0.672232290378537	0.6626970805859338
UP_KEYWORDS	DNA repair	8	2.4242424242424243	0.05721125875562018	80233, 199990, 55215, 10273, 2067, 2175, 55120, 10213	242	293	20581	2.32206019236736	0.9999999390663366	0.672232290378537	0.6626970805859338
GOTERM_BP_DIRECT	GO:0006281~DNA repair	7	2.1212121212121215	0.07650260224971749	80233, 55215, 10273, 1453, 2067, 2175, 55120	212	235	16792	2.3593737454837416	1.0	1.0	1.0

Annotation Cluster 2	Enrichment Score: 1.2952505424751783
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0000166~nucleotide binding	12	3.6363636363636362	0.005283337484786302	373863, 9584, 140890, 7298, 4670, 64852, 11066, 8888, 29899, 109, 58517, 10643	217	348	16881	2.6825043699348483	0.8678192904356659	1.0	1.0
GOTERM_CC_DIRECT	GO:0005681~spliceosomal complex	6	1.8181818181818181	0.005531512594621967	55760, 140890, 4670, 24144, 8896, 58517	220	94	18224	5.28742746615087	0.7872369533292385	0.30865840277990575	0.30644579774205694
GOTERM_CC_DIRECT	GO:0016607~nuclear speck	8	2.4242424242424243	0.01099027988897649	9584, 4000, 26121, 64852, 24144, 10409, 58517, 51747	220	201	18224	3.2969696969696964	0.9541904297820726	0.43804115557492007	0.4349010756066411
UP_KEYWORDS	mRNA splicing	9	2.727272727272727	0.011805571081892174	9584, 140890, 23517, 4670, 26121, 24144, 11066, 58517, 51747	242	260	20581	2.943881118881119	0.964879788012712	0.3505948508663903	0.3456218742583564
INTERPRO	IPR012677:Nucleotide-binding, alpha-beta plait	9	2.727272727272727	0.014856494997870513	373863, 9584, 140890, 4670, 64852, 11066, 8888, 58517, 10643	224	264	18559	2.8245231331168834	0.9997002714334059	1.0	1.0
SMART	SM00360:RRM	8	2.4242424242424243	0.016464942517223986	373863, 9584, 140890, 4670, 64852, 11066, 58517, 10643	126	212	10057	3.011979634621144	0.8844739807883671	1.0	1.0
UP_KEYWORDS	mRNA processing	10	3.0303030303030303	0.016713871798465847	9584, 140890, 23517, 4670, 26121, 64852, 24144, 11066, 58517, 51747	242	332	20581	2.5616100766703176	0.9913754730320139	0.3720080085118971	0.36673129917130276
UP_KEYWORDS	Spliceosome	6	1.8181818181818181	0.01695154637530477	140890, 23517, 4670, 26121, 24144, 11066	242	127	20581	4.017895490336435	0.9919438290858003	0.3720080085118971	0.36673129917130276
INTERPRO	IPR000504:RNA recognition motif domain	8	2.4242424242424243	0.019657188017050915	373863, 9584, 140890, 4670, 64852, 11066, 58517, 10643	224	226	18559	2.932838179519595	0.9999787744413221	1.0	1.0
GOTERM_BP_DIRECT	GO:0008380~RNA splicing	6	1.8181818181818181	0.05844340654305696	9584, 140890, 24144, 11066, 58517, 51747	212	166	16792	2.862923391679927	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0000398~mRNA splicing, via spliceosome	7	2.1212121212121215	0.06217621196820341	55760, 23517, 4670, 26121, 24144, 8896, 11066	212	222	16792	2.497535271120177	1.0	1.0	1.0
UP_KEYWORDS	RNA-binding	13	3.939393939393939	0.09288970329666553	373863, 4141, 9584, 4670, 64794, 25917, 64852, 26019, 26121, 11066, 51106, 58517, 10643	242	665	20581	1.6625427204374574	0.9999999999988515	0.818590510301865	0.8069792973897818
UP_SEQ_FEATURE	domain:RRM 1	4	1.2121212121212122	0.19352232449187132	373863, 9584, 4670, 10643	244	125	20063	2.6312131147540985	1.0	1.0	1.0
UP_SEQ_FEATURE	domain:RRM 2	4	1.2121212121212122	0.19352232449187132	373863, 9584, 4670, 10643	244	125	20063	2.6312131147540985	1.0	1.0	1.0
UP_SEQ_FEATURE	domain:RRM	4	1.2121212121212122	0.22483079991864238	140890, 64852, 11066, 58517	244	135	20063	2.4363084395871284	1.0	1.0	1.0
KEGG_PATHWAY	hsa03040:Spliceosome	4	1.2121212121212122	0.23150009363294713	4670, 26121, 8896, 58517	87	133	6879	2.3780140005185375	1.0	1.0	1.0
GOTERM_CC_DIRECT	GO:0071013~catalytic step 2 spliceosome	3	0.9090909090909091	0.3033283857536444	23517, 4670, 24144	220	92	18224	2.701185770750988	1.0	1.0	0.9964028776978417
GOTERM_BP_DIRECT	GO:0006397~mRNA processing	4	1.2121212121212122	0.3894431798343837	9584, 140890, 24144, 58517	212	179	16792	1.770001054073996	1.0	1.0	1.0
GOTERM_MF_DIRECT	GO:0003676~nucleic acid binding	13	3.939393939393939	0.6117214180344718	9584, 92822, 5894, 64852, 203523, 140890, 140685, 24144, 90326, 11066, 340385, 58517, 10643	217	985	16881	1.026704718239023	1.0	1.0	1.0

Annotation Cluster 3	Enrichment Score: 1.0847776942004241
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KEYWORDS	Mitochondrion	25	7.575757575757576	0.0031789364477727566	7444, 10018, 55760, 81034, 1376, 1353, 755, 10352, 10131, 51106, 10452, 50, 8564, 7298, 8303, 6464, 5894, 65018, 10939, 3099, 55052, 384, 284106, 1760, 84971	242	1119	20581	1.900032496547242	0.5925707577649307	0.14806116535253555	0.14596100697874073
GOTERM_CC_DIRECT	GO:0005759~mitochondrial matrix	8	2.4242424242424243	0.10075843375246632	7298, 6464, 10352, 10131, 51106, 84971, 50, 384	220	327	18224	2.0265777036419235	0.9999999999998647	1.0	0.9964028776978417
UP_SEQ_FEATURE	transit peptide:Mitochondrion	10	3.0303030303030303	0.13267275308362525	1376, 284106, 1353, 10352, 10131, 65018, 51106, 50, 55052, 384	244	482	20063	1.7059213658934764	1.0	1.0	1.0
GOTERM_CC_DIRECT	GO:0005743~mitochondrial inner membrane	9	2.727272727272727	0.16106716023944548	8564, 7298, 81034, 1376, 1353, 10131, 65018, 10939, 55052	220	441	18224	1.6905380333951763	1.0	1.0	0.9964028776978417
UP_KEYWORDS	Transit peptide	10	3.0303030303030303	0.1813678583385529	1376, 284106, 1353, 10352, 10131, 65018, 51106, 50, 55052, 384	242	536	20581	1.5866689280868387	1.0	1.0	0.9893238434163701
GOTERM_CC_DIRECT	GO:0005739~mitochondrion	20	6.0606060606060606	0.24970170822980917	7298, 116986, 3035, 65018, 10939, 253190, 55052, 384, 10018, 55760, 81034, 1376, 284106, 1353, 755, 10131, 51106, 8602, 50, 10452	220	1331	18224	1.244723721057305	1.0	1.0	0.9964028776978417

Annotation Cluster 4	Enrichment Score: 1.077045516341562
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
INTERPRO	IPR013083:Zinc finger, RING/FYVE/PHD-type	13	3.939393939393939	0.008850295054801633	114804, 9146, 11083, 10273, 23609, 6477, 55120, 23081, 11177, 140545, 142678, 83860, 10336	224	453	18559	2.37767068748029	0.9919187831063565	1.0	1.0
