ID	Description	GeneRatio	BgRatio	pvalue	p_adjust	qvalue	geneID	Count	GO	Sample
GO:0019787	ubiquitin-like protein transferase activity	298/8781	448/22933	2.90400580822197e-34	3.24958249940038e-31	1.91970068164568e-31	217069/66089/69754/68477/19386/67030/22034/59004/407243/23807/11796/70238/30839/74365/99375/21927/78889/71956/103737/74315/68366/98403/21929/216080/67345/17246/20610/216150/76901/208439/108089/67128/67279/28077/81003/93688/50789/30945/268807/67731/56438/17237/106025/67118/75785/69104/56771/58230/109113/93679/68431/59026/225743/12418/12013/57751/14897/30050/22030/99152/72137/22193/22222/140629/16396/29864/66743/52323/68098/72399/80751/26965/73998/21848/101358/243574/108098/233902/20821/77113/234796/234959/17999/14155/71999/72179/67525/22346/67455/232539/50788/75841/218203/70093/74646/109910/234736/269514/78913/74154/67615/237010/24017/207304/106021/269700/68497/71458/70797/414872/68350/53621/56424/20437/214931/213417/30838/68867/70294/381270/68999/225266/100763/69149/76608/69807/19647/269529/105193/277396/108086/23802/217558/384309/68795/19823/55992/230903/320311/76454/51902/67921/328234/211255/104836/193670/22644/76980/244421/12234/224703/270201/74287/218215/74901/66510/20439/19820/77772/56736/93834/67338/55983/15204/26374/71779/387524/66155/27385/78832/209200/268291/217342/101700/65247/242960/223455/22218/100503085/19014/67245/672511/242521/27401/75212/242785/56469/93765/319817/380928/268470/67219/22214/67490/66313/72194/140499/242721/50762/66105/16351/76681/50754/80890/66949/66394/12014/212390/107568/94091/66589/81018/26401/103583/407821/72925/94253/75788/231863/226541/18011/240756/246293/224826/18744/236904/210973/68846/59003/208650/17344/54484/22195/75339/140630/22129/56715/14339/240518/51813/329152/224170/213311/56228/71865/225055/100270744/207742/74126/66771/53323/381338/66172/30843/66213/109331/330369/268281/68031/69792/74132/213211/26554/83814/546611/19302/66597/224023/75717/66894/28105/75234/100040608/56550/67588/23806/224938/170737/22213/12211/19822/77853/11797/50868/22215/231670/65257/71778/233900/12402/234378/21849/93836/66689/19720/11798/50764/71816	298	MF	group1
GO:0004842	ubiquitin-protein transferase activity	288/8781	431/22933	1.10086605448146e-33	6.15934557482379e-31	3.63865201165452e-31	217069/66089/69754/68477/67030/22034/407243/23807/11796/70238/30839/74365/99375/21927/78889/71956/103737/74315/68366/21929/216080/67345/17246/216150/76901/208439/108089/67128/67279/28077/81003/93688/50789/30945/268807/67731/56438/17237/106025/67118/75785/69104/56771/58230/109113/93679/68431/59026/225743/12013/57751/14897/30050/22030/99152/72137/22193/22222/140629/16396/29864/66743/52323/68098/72399/80751/26965/73998/21848/101358/243574/108098/233902/20821/77113/234796/234959/17999/14155/71999/72179/67525/22346/67455/232539/50788/75841/218203/70093/74646/109910/234736/269514/78913/74154/67615/237010/24017/207304/106021/269700/68497/71458/70797/414872/68350/53621/56424/20437/214931/213417/30838/68867/70294/381270/68999/225266/100763/69149/76608/69807/19647/269529/105193/277396/108086/23802/217558/384309/68795/19823/55992/230903/320311/76454/51902/67921/328234/211255/104836/193670/22644/76980/244421/12234/224703/270201/74287/218215/74901/66510/20439/19820/77772/56736/93834/67338/55983/15204/26374/71779/387524/27385/78832/209200/268291/217342/101700/65247/242960/223455/100503085/19014/67245/672511/242521/27401/75212/242785/93765/319817/380928/268470/67219/22214/66313/72194/140499/242721/50762/66105/16351/76681/50754/80890/66949/66394/12014/212390/107568/94091/66589/81018/26401/103583/407821/72925/94253/75788/231863/226541/18011/240756/246293/224826/18744/236904/210973/68846/59003/208650/54484/22195/75339/140630/22129/56715/14339/240518/51813/329152/224170/213311/56228/71865/225055/100270744/207742/74126/66771/53323/381338/66172/30843/66213/109331/330369/268281/68031/69792/74132/213211/26554/83814/546611/19302/66597/224023/75717/66894/28105/75234/100040608/56550/67588/23806/224938/170737/22213/12211/19822/77853/11797/50868/22215/231670/65257/71778/233900/12402/234378/21849/93836/66689/19720/11798/50764/71816	288	MF	group1
GO:0051020	GTPase binding	313/8781	489/22933	2.9874364507121e-31	1.11431379611561e-28	6.58284242472702e-29	18053/56149/320634/71810/109880/21844/110750/20405/19386/26403/23790/102098/217715/17988/320795/20742/12389/12048/78287/14567/21927/268451/260302/54411/83767/13998/117600/66687/216363/19878/18755/218210/56419/65246/224105/74006/69104/72238/19765/224705/13660/101489/12662/223254/74018/18582/77040/29809/19730/228550/67231/16569/83409/29815/11303/54170/320292/209354/80291/22241/70572/27414/66508/18481/71310/116733/19417/72825/241656/100213/101314/72404/20663/243725/69470/207592/230673/14799/72536/277360/209773/209478/238130/226407/78808/237422/102442/11554/234353/68813/245670/209815/27008/217201/105445/245886/226432/103724/74334/67016/217866/72662/72318/105841/15183/16558/226089/57915/208869/329877/243621/107508/216742/233204/75751/19732/98710/245049/76895/320051/12704/74998/20336/329165/16897/19387/244654/76484/56699/75767/54610/104252/237782/16568/76441/97761/69903/13860/320311/104445/52055/20660/227800/75695/20403/56187/269952/74694/442801/20166/98402/236643/54354/17433/20662/260409/11517/140580/218035/74155/17919/27387/54126/263406/94254/13667/19894/76954/22608/22379/116837/116838/234094/100088/330662/73205/233726/54214/235633/12121/72836/72322/69940/259302/232237/223435/56508/71409/104346/76795/74563/11765/212999/109934/15519/107746/17207/245638/14270/52187/102058/56513/194401/99371/20170/214230/228361/56349/19157/70435/232227/320127/19419/216805/192786/227801/66691/18195/12663/269608/170731/72754/192662/19347/207212/83671/58869/70584/15567/238799/110596/218397/217944/56488/30938/50753/228355/320560/50884/19731/192232/14020/110157/11977/19349/18286/27756/207227/98910/545156/71648/19385/74002/19159/170822/76089/235380/215445/56715/227377/68449/74760/17918/227743/18826/223864/11736/171207/241308/17356/100855/68576/19418/226970/219140/224014/210789/105504/237038/110279/240168/319934/14688/18141/434204/69632/75547/29875/74204/329260/271981/24001/17925/67588/67425/78255/57258/16800/213027/27277/74055/268739/111173/382253/50907/18479/71972/215821/52666/208846/211922/71704/381112	313	MF	group1
GO:0031267	small GTPase binding	258/8781	394/22933	3.29683845287131e-28	9.2229055719075e-26	5.44845933790312e-26	18053/56149/320634/71810/109880/21844/110750/19386/26403/23790/102098/17988/320795/12389/78287/14567/21927/268451/260302/54411/83767/13998/117600/66687/216363/19878/18755/218210/56419/65246/224105/74006/72238/19765/224705/13660/12662/223254/74018/18582/29809/228550/67231/16569/11303/320292/80291/22241/70572/27414/18481/71310/116733/19417/241656/100213/101314/72404/20663/69470/207592/230673/14799/277360/209773/209478/238130/226407/78808/102442/11554/209815/27008/217201/105445/245886/226432/103724/74334/67016/217866/105841/16558/226089/57915/329877/233204/75751/19732/245049/76895/320051/12704/74998/20336/329165/16897/19387/244654/76484/56699/75767/54610/104252/237782/16568/76441/97761/69903/13860/320311/104445/52055/20660/227800/75695/20403/56187/74694/442801/20166/98402/236643/54354/17433/20662/260409/11517/74155/17919/54126/263406/94254/19894/76954/22379/116837/116838/234094/100088/73205/233726/235633/12121/72836/72322/69940/259302/232237/223435/56508/71409/104346/76795/11765/212999/109934/107746/17207/245638/14270/102058/56513/194401/20170/214230/56349/70435/320127/19419/192786/227801/18195/12663/269608/170731/72754/192662/19347/207212/83671/58869/70584/15567/238799/110596/217944/56488/30938/228355/320560/50884/19731/192232/14020/110157/11977/19349/18286/27756/207227/98910/545156/71648/19385/170822/76089/235380/215445/56715/227377/68449/74760/17918/227743/223864/11736/171207/241308/17356/100855/19418/226970/219140/224014/210789/105504/237038/110279/240168/319934/18141/434204/69632/75547/29875/74204/329260/271981/24001/17925/67588/67425/57258/16800/213027/27277/74055/268739/111173/382253/18479/71972/52666/208846/211922/71704/381112	258	MF	group1
GO:0017016	Ras GTPase binding	248/8781	378/22933	2.37565815071461e-27	5.31672294129929e-25	3.14087014452373e-25	18053/320634/71810/109880/21844/110750/19386/26403/23790/102098/17988/320795/12389/78287/14567/21927/268451/54411/83767/13998/117600/66687/216363/19878/18755/218210/56419/65246/224105/74006/72238/19765/224705/13660/12662/223254/74018/18582/29809/228550/67231/16569/320292/22241/70572/27414/18481/71310/116733/19417/241656/100213/101314/72404/20663/69470/207592/230673/277360/209773/209478/238130/226407/78808/102442/11554/209815/27008/217201/105445/245886/226432/103724/74334/67016/217866/105841/16558/226089/57915/329877/233204/75751/19732/245049/76895/320051/12704/74998/20336/329165/16897/19387/244654/76484/56699/75767/54610/104252/237782/16568/76441/97761/69903/13860/104445/52055/227800/20403/56187/74694/442801/20166/98402/236643/54354/17433/20662/260409/17919/54126/263406/94254/19894/76954/22379/116837/116838/234094/100088/73205/233726/235633/12121/72836/72322/69940/259302/232237/223435/56508/71409/104346/76795/11765/212999/109934/107746/17207/245638/14270/102058/56513/194401/20170/214230/56349/70435/320127/19419/192786/227801/18195/12663/269608/170731/72754/192662/19347/207212/83671/58869/70584/15567/238799/110596/217944/56488/30938/228355/320560/50884/19731/192232/14020/110157/11977/19349/18286/27756/207227/98910/545156/71648/19385/170822/76089/235380/215445/56715/227377/68449/74760/17918/227743/223864/11736/171207/241308/17356/100855/19418/226970/219140/224014/210789/105504/237038/110279/240168/319934/18141/434204/69632/75547/29875/74204/329260/271981/24001/17925/67588/67425/57258/16800/213027/27277/74055/268739/111173/382253/18479/71972/52666/208846/211922/71704/381112	248	MF	group1
GO:0061659	ubiquitin-like protein ligase activity	166/8781	234/22933	2.70666873660616e-24	5.04793719377048e-22	2.98208415190994e-22	217069/67030/22034/59004/407243/23807/74365/99375/74315/68366/98403/67345/17246/216150/76901/108089/67128/67279/28077/30945/56438/17237/67118/56771/58230/109113/59026/225743/57751/14897/99152/22222/140629/16396/29864/66743/72399/80751/26965/73998/21848/108098/234959/17999/22346/75841/218203/78913/67615/24017/207304/106021/269700/68497/70797/56424/20437/68867/70294/68999/100763/76608/69807/19647/105193/108086/23802/217558/384309/68795/19823/55992/320311/51902/67921/104836/193670/244421/12234/74287/218215/66510/19820/77772/56736/93834/67338/55983/15204/26374/71779/387524/78832/268291/217342/65247/223455/19014/67245/27401/75212/56469/93765/268470/67219/22214/66313/140499/50762/80890/66949/66394/107568/94091/66589/81018/103583/72925/94253/75788/18011/224826/18744/208650/17344/140630/56715/14339/240518/51813/329152/224170/56228/71865/74126/66771/53323/381338/66172/66213/268281/68031/69792/74132/213211/26554/83814/19302/75717/66894/75234/100040608/67588/23806/224938/170737/22213/19822/77853/22215/12402/93836/19720/11798/50764/71816	166	MF	group1
GO:0061630	ubiquitin protein ligase activity	162/8781	230/22933	3.29325911492328e-23	5.26450992799879e-21	3.11002514913056e-21	217069/67030/22034/407243/23807/74365/99375/74315/68366/67345/17246/216150/76901/108089/67128/67279/28077/30945/56438/17237/67118/56771/58230/109113/59026/225743/57751/14897/99152/22222/140629/16396/29864/66743/72399/80751/26965/73998/21848/108098/234959/17999/22346/75841/218203/78913/67615/24017/207304/106021/269700/68497/70797/56424/20437/68867/70294/68999/100763/76608/69807/19647/105193/108086/23802/217558/384309/68795/19823/55992/320311/51902/67921/104836/193670/244421/12234/74287/218215/66510/19820/77772/56736/93834/67338/55983/15204/26374/71779/387524/78832/268291/217342/65247/223455/19014/67245/27401/75212/93765/268470/67219/22214/66313/140499/50762/80890/66949/66394/107568/94091/66589/81018/103583/72925/94253/75788/18011/224826/18744/208650/140630/56715/14339/240518/51813/329152/224170/56228/71865/74126/66771/53323/381338/66172/66213/268281/68031/69792/74132/213211/26554/83814/19302/75717/66894/75234/100040608/67588/23806/224938/170737/22213/19822/77853/22215/12402/93836/19720/11798/50764/71816	162	MF	group1
GO:0140098	catalytic activity, acting on RNA	218/8781	347/22933	1.14790558439259e-20	1.60563293616913e-18	9.48532509208613e-19	66368/13205/78943/15115/229512/66942/28088/74351/67619/70560/14791/52513/66420/68916/17299/234374/67466/94223/67897/67493/27267/50912/217038/67487/104458/67789/69920/94213/338359/117599/193116/28071/71916/52686/72047/56095/13207/76265/328092/69955/72935/72198/58809/67153/78929/106248/12457/67053/224805/74157/72167/69241/70640/70223/218832/12909/19076/69163/226414/67997/381314/74455/70408/66044/71715/72162/210529/78890/13204/69663/68017/71990/72587/231803/67755/14911/66161/67417/101437/209003/54632/18983/66369/85305/234734/104444/28015/24127/226539/67229/68260/216443/56196/106794/218629/102436/217207/69833/381802/234733/75284/108943/67390/224481/114615/229780/192119/382137/72662/64340/230594/68915/353190/239528/110109/268420/244141/191578/27225/101148/103677/56200/107508/67486/78394/11792/20018/194908/67724/116940/211948/67040/20019/67011/229504/234728/17749/71986/52575/212679/72831/227522/106338/59028/77591/329384/83703/54451/26383/67848/214290/68626/226517/71807/69606/70428/72650/67676/102614/117109/76894/328162/24014/215201/57905/20226/53975/69870/70044/234594/212880/329504/228019/66966/20017/107271/68730/338371/230577/64424/217057/216877/28114/68925/74097/70047/227674/15547/76357/20589/71723/13434/229487/67939/319582/384281/74753/70791/68572/231464/14156/54188/237730/216151/98258/211064/72068/213550/208144/13209/212528/67065/66132/13211/26939/67667/20021/19704	218	MF	group1
GO:0060589	nucleoside-triphosphatase regulator activity	185/8781	285/22933	5.56684381784679e-20	6.9214424801895e-18	4.08886306152957e-18	320634/71810/58175/19386/81489/14567/67903/117600/66687/19739/216991/217737/12549/213990/72238/19765/14682/101489/12662/18186/74018/18582/347722/19735/19734/11931/19736/19737/29809/19730/66861/67231/76123/68016/15502/230784/71729/17713/19415/67865/29810/19889/94190/11856/50768/56445/71310/11933/207592/236920/209478/238130/226407/214137/78808/237422/216439/209815/217201/71709/245886/103724/67016/67792/69780/57915/213539/18821/216742/69993/233204/230837/67035/16897/19387/244654/12006/56699/54610/104252/226652/97761/104445/83945/227800/17714/74694/442801/244867/20166/50780/98402/260409/231532/11603/12005/232906/16413/54189/78514/212285/226525/79264/330662/235633/74206/277854/259302/20401/76795/109934/245638/14270/71302/70497/69710/109689/320127/66691/99326/108903/12663/94221/72754/192662/544817/16476/18015/244668/228998/228850/268390/218397/241694/74030/18795/243362/231821/228482/240832/239027/108699/14020/69601/232201/232089/207227/21838/98910/19385/76089/68449/58996/210933/171207/270163/56533/329679/100855/71435/210789/110279/240168/69632/217692/271981/208263/24001/17925/109270/20563/330914/213027/14570/13196/244548/75415/50779/24012/240057/15505/50907/14697/11855/56784	185	MF	group1
GO:0004674	protein serine/threonine kinase activity	266/8781	448/22933	6.62376926358218e-20	7.41199780594846e-18	4.37866010266275e-18	11482/11479/78943/232533/26406/27214/109880/12576/20869/75292/14773/26403/69181/29869/20815/26416/320795/228026/14884/12567/72149/106504/107951/13805/226419/27219/104318/58231/56274/75770/26397/17346/23797/77976/19878/26399/71091/18755/19766/71340/20620/50523/19229/19090/224105/56637/20112/268930/17691/19106/13872/66878/58988/26412/56613/20874/20873/80752/20872/59041/226778/18761/269275/15259/140810/228550/70762/12167/18762/19079/22241/52163/13728/233789/56420/68961/18481/110651/23954/16150/13666/234878/12747/13143/245000/241656/140780/235604/338372/269881/192656/26409/228012/208583/381406/225997/108737/217718/235344/66042/231876/217866/71751/69562/223775/12326/18679/109333/227541/78334/213452/269019/230661/108097/26398/106763/12166/69585/244631/23955/83984/105787/12704/71742/59126/279029/104175/13000/108960/18750/232341/21754/21813/320119/13871/11480/11302/19091/320129/102414/26559/12537/70425/53886/237459/12041/381921/74137/17169/69635/19134/103236/26448/22367/232944/13549/381113/11790/12168/20817/19094/29857/26407/269774/223435/65964/12572/225724/55984/26408/26405/18754/226751/214230/15467/12325/23939/72113/18749/12322/18607/56717/230809/108058/17776/24086/69131/18706/18759/70584/233020/26420/266632/26401/21969/69922/56527/12323/16886/26400/207565/245038/330177/18753/110094/11477/110157/12283/72388/16179/93843/545156/66587/51789/18647/12545/27373/11920/15257/20623/57261/13548/20963/20393/18004/12748/70661/11836/57869/26396/76367/214897/72508/231580/30955/665113/19092/15258/75607/66671/26921/110279/11481/93687/67333/16798/546071/75547/170755/328329/13175/101540/50772/245269/333050/279561/59125/75669/22625/382253/71481/18479/381983/234854/238323/73086	266	MF	group1
