bins	meanCoverage	standardError	feature	Sample
1	0.13496355513755	0.00701399843081928	upstream	group1
2	0.133922273353263	0.00699074183632206	upstream	group1
3	0.133552786268516	0.00699460971235826	upstream	group1
4	0.134459709112895	0.00702083519522562	upstream	group1
5	0.133552786268516	0.00699654517779355	upstream	group1
6	0.132880991568977	0.00692500679679769	upstream	group1
7	0.130664069060495	0.00686490037336097	upstream	group1
8	0.128749454166807	0.00682350390988335	upstream	group1
9	0.129857915421047	0.00681493853961664	upstream	group1
10	0.131705350844782	0.00697616278823	upstream	group1
11	0.132242786604414	0.00704518870398597	upstream	group1
12	0.133015350508885	0.00703644685855408	upstream	group1
13	0.131067145880219	0.00687039263420597	upstream	group1
14	0.130798428000403	0.00685692055578162	upstream	group1
15	0.132578683954184	0.0069225125964633	upstream	group1
16	0.131638171374828	0.00686074027408926	upstream	group1
17	0.13183970978469	0.00680860773138636	upstream	group1
18	0.133552786268516	0.00704716103037292	upstream	group1
19	0.131268684290081	0.00697457908868041	upstream	group1
20	0.129589197541231	0.00690050093080247	upstream	group1
21	0.129219710456485	0.00686885823018115	upstream	group1
22	0.131705350844782	0.00697616278823	upstream	group1
23	0.132444325014276	0.0070450615315232	upstream	group1
24	0.134325350172987	0.00715716449151342	upstream	group1
25	0.13183970978469	0.00710317919002321	upstream	group1
26	0.132041248194552	0.00707583823786749	upstream	group1
27	0.133485606798562	0.00709745837284883	upstream	group1
28	0.13529945248732	0.00722628861642876	upstream	group1
29	0.137113298176077	0.00729940491160865	upstream	group1
30	0.138356118370226	0.00733724023981093	upstream	group1
31	0.14053945114373	0.00740054461182578	upstream	group1
32	0.141446373988109	0.00741846675104319	upstream	group1
33	0.142319707097511	0.00743234168536352	upstream	group1
34	0.13741560579087	0.00680855002962755	upstream	group1
35	0.13429176043801	0.00705852814364216	upstream	group1
36	0.133754324678378	0.00713043729009376	upstream	group1
37	0.13251150448423	0.00706740549098406	upstream	group1
38	0.133149709448792	0.00706165196806861	upstream	group1
39	0.134190991233079	0.0070966140769849	upstream	group1
40	0.138154579960364	0.00720829115916395	upstream	group1
41	0.143696886231568	0.00742727504995798	upstream	group1
42	0.148399449128346	0.0075181041231376	upstream	group1
43	0.152967653085217	0.00758883478192149	upstream	group1
44	0.158845856706191	0.00770908839307886	upstream	group1
45	0.162372778878775	0.00780850485714492	upstream	group1
46	0.165832521581405	0.00786187282600463	upstream	group1
47	0.168822007994357	0.00791545264653778	upstream	group1
48	0.171005340767861	0.00803759159726729	upstream	group1
49	0.174397904000537	0.00809690144243508	upstream	group1
50	0.175741493399617	0.00804910205374028	upstream	group1
51	0.226260454805012	0.008876226824647	upstream	group1
52	0.228141479963723	0.00893719528911188	upstream	group1
53	0.228779684928286	0.00894831834714586	upstream	group1
54	0.226629941889759	0.00878576910574529	upstream	group1
55	0.226159685600081	0.0087218598709178	upstream	group1
56	0.227469685264183	0.00876350080879434	upstream	group1
57	0.22884686439824	0.00878640725810062	upstream	group1
58	0.229384300157872	0.00882246086763361	upstream	group1
59	0.231567632931376	0.00886832071868361	upstream	group1
