V1	N	Sample
3prime_overlapping_ncRNA	4	group1
antisense_RNA	665	group1
bidirectional_promoter_lncRNA	102	group1
lincRNA	911	group1
miRNA	82	group1
misc_RNA	18	group1
non_stop_decay	42	group1
nonsense_mediated_decay	12392	group1
polymorphic_pseudogene	22	group1
processed_pseudogene	62	group1
processed_transcript	7597	group1
protein_coding	147736	group1
pseudogene	10	group1
retained_intron	9732	group1
rRNA	2	group1
scaRNA	2	group1
sense_intronic	52	group1
sense_overlapping	43	group1
snoRNA	8	group1
snRNA	8	group1
sRNA	2	group1
TEC	176	group1
transcribed_processed_pseudogene	30	group1
transcribed_unitary_pseudogene	19	group1
transcribed_unprocessed_pseudogene	21	group1
unprocessed_pseudogene	15	group1
