bases	meanCoverage	standardError	feature	Sample
-100	0.0212544525470251	0.000227931447623845	5PSS	group1
-99	0.0212760843544348	0.000228040624543839	5PSS	group1
-98	0.0212280136713023	0.00022789934943672	5PSS	group1
-97	0.0211919606589529	0.000227717224898541	5PSS	group1
-96	0.0211126440317843	0.000227315988908243	5PSS	group1
-95	0.021115047565941	0.000227328158956812	5PSS	group1
-94	0.0211511005782903	0.000227586788027405	5PSS	group1
-93	0.0211102404976277	0.000227329232006919	5PSS	group1
-92	0.0210429415412422	0.000226937292116304	5PSS	group1
-91	0.0210309238704591	0.000226876320719046	5PSS	group1
-90	0.0210669768828085	0.0002270591812071	5PSS	group1
-89	0.0210982228268446	0.000227217530136501	5PSS	group1
-88	0.0211294687708807	0.00022740116428832	5PSS	group1
-87	0.0211054334293145	0.000227279474485986	5PSS	group1
-86	0.0210789945535916	0.000227145533344556	5PSS	group1
-85	0.0210886086902181	0.000227168820245414	5PSS	group1
-84	0.0210982228268446	0.000227166674580632	5PSS	group1
-83	0.0211847500564831	0.000227782251057171	5PSS	group1
-82	0.0211318723050373	0.000227489525711879	5PSS	group1
-81	0.0210741874852784	0.00022719746547165	5PSS	group1
-80	0.0210597662803386	0.000227124386227984	5PSS	group1
-79	0.0210092920630495	0.000226868406143235	5PSS	group1
-78	0.0209564143116038	0.000226523401787462	5PSS	group1
-77	0.0208795012185918	0.000226132089294357	5PSS	group1
-76	0.0208001845914232	0.000225727771821526	5PSS	group1
-75	0.020814605796363	0.000225801342919002	5PSS	group1
-74	0.0208434482062425	0.000225948406610562	5PSS	group1
-73	0.020853062342869	0.000225997404608566	5PSS	group1
-72	0.0208362376037726	0.00022591165049261	5PSS	group1
-71	0.0207785527840136	0.000225617366038694	5PSS	group1
-70	0.0207881669206401	0.000225666442559358	5PSS	group1
-69	0.0208049916597365	0.000225752298430743	5PSS	group1
-68	0.0208290270013027	0.00022587488784016	5PSS	group1
-67	0.0208650800136521	0.000226109740560262	5PSS	group1
-66	0.0209035365601581	0.000226305514451509	5PSS	group1
-65	0.0207929739889534	0.000225716571901594	5PSS	group1
-64	0.020776149249857	0.000225656302571702	5PSS	group1
-63	0.0207617280449173	0.000225582678262007	5PSS	group1
-62	0.0207112538276281	0.000225376057436486	5PSS	group1
-61	0.0207617280449173	0.000225659492762488	5PSS	group1
-60	0.0208218163988328	0.000226017109308041	5PSS	group1
-59	0.020833834069616	0.00022607833914409	5PSS	group1
-58	0.0208434482062425	0.000226127309970364	5PSS	group1
-57	0.0207424997716643	0.000225586929781051	5PSS	group1
-56	0.0207737457157004	0.000225746419364656	5PSS	group1
-55	0.0208290270013027	0.000226053849384138	5PSS	group1
-54	0.0208650800136521	0.000226211915466111	5PSS	group1
-53	0.0208650800136521	0.000226211915466111	5PSS	group1
-52	0.0208698870819653	0.000226210849637776	5PSS	group1
-51	0.0208554658770256	0.000226162965169583	5PSS	group1
-50	0.0208266234671461	0.000225913781279666	5PSS	group1
-49	0.0208386411379292	0.00022594947232491	5PSS	group1
-48	0.020853062342869	0.00022594627442934	5PSS	group1
-47	0.0208602729453388	0.000225983023625398	5PSS	group1
-46	0.0209011330260014	0.000226191145855421	5PSS	group1
-45	0.0209275719017243	0.000226325701750214	5PSS	group1
-44	0.0209347825041942	0.000226362383642819	5PSS	group1
-43	0.0209179577650978	0.000226276782450826	5PSS	group1
-42	0.0210597662803386	0.00022699717380656	5PSS	group1
-41	0.0210501521437121	0.000226948412704787	5PSS	group1
-40	0.0211126440317843	0.00022721431048839	5PSS	group1
-39	0.0211414864416638	0.000227360369357118	5PSS	group1
-38	0.0211270652367241	0.000227287352754892	5PSS	group1
-37	0.0211895571247963	0.000227603572995165	5PSS	group1
-36	0.0212328207396155	0.000227822213447366	5PSS	group1
-35	0.0213121373667841	0.000228374286435679	5PSS	group1
-34	0.0212400313420854	0.000228010700843621	5PSS	group1
-33	0.0211462935099771	0.000227333884366935	5PSS	group1
-32	0.0211486970441337	0.000227244387634364	5PSS	group1
-31	0.0211054334293145	0.000227025152166188	5PSS	group1
-30	0.021134275839194	0.000227171334853906	5PSS	group1
-29	0.0211655217832301	0.000227329583428505	5PSS	group1
-28	0.0211294687708807	0.000227146978217053	5PSS	group1
-27	0.0211318723050373	0.000227159156892491	5PSS	group1
-26	0.0212712772861215	0.000227864302094813	5PSS	group1
-25	0.021300119696001	0.000228009896360881	5PSS	group1
-24	0.0213818398573262	0.000228421861953999	5PSS	group1
-23	0.0214972094968442	0.000229002079434399	5PSS	group1
-22	0.0214635600186514	0.000228833015747283	5PSS	group1
-21	0.0214972094968442	0.000229027304847988	5PSS	group1
-20	0.02154287664582	0.00022925650477377	5PSS	group1
-19	0.0215933508631091	0.000229459191726325	5PSS	group1
-18	0.0216270003413019	0.000229627748677219	5PSS	group1
-17	0.0216846851610608	0.000229916388415235	5PSS	group1
-16	0.0217303523100367	0.000230144613496263	5PSS	group1
-15	0.0217688088565427	0.000230336610765304	5PSS	group1
-14	0.0218024583347354	0.000230504464538935	5PSS	group1
-13	0.0219154244400967	0.0002310669957	5PSS	group1
-12	0.0219610915890726	0.000231219033312815	5PSS	group1
-11	0.0220572329553375	0.000231696243477961	5PSS	group1
-10	0.0220812682969038	0.000231815377548865	5PSS	group1
-9	0.0221004965701568	0.000231910636430748	5PSS	group1
-8	0.0221798131973253	0.000232303125984378	5PSS	group1
-7	0.0222399015512409	0.000232649650236236	5PSS	group1
