anno	seqnames	start	end	width	peak	groupname	gene_type	gene_name	location	transcriptID
UTR3 (ENSMUST00000000001.4)	chr3	108108780	108109204	425	chr3:108108780-108109204|Locus_3055	group1	protein_coding	Gnai3	UTR3	ENSMUST00000000001.4
CDS (ENSMUST00000000080.7, CDS 1 of 4, 204bp)	chr13	5861757	5863621	1865	chr13:5861757-5863621|Locus_8705	group1	protein_coding	Klf6	CDS	ENSMUST00000000080.7
CDS (ENSMUST00000000080.7, CDS 2 of 4, 577bp)	chr13	5864699	5865173	475	chr13:5864699-5865173|Locus_8706	group1	protein_coding	Klf6	CDS	ENSMUST00000000080.7
UTR3 (ENSMUST00000000080.7)	chr13	5867479	5867828	350	chr13:5867479-5867828|Locus_8707	group1	protein_coding	Klf6	UTR3	ENSMUST00000000080.7
UTR3 (ENSMUST00000000122.6)	chr11	95570368	95570517	150	chr11:95570368-95570517|Locus_4238	group1	protein_coding	Ngfr	UTR3	ENSMUST00000000122.6
UTR3 (ENSMUST00000000122.6)	chr11	95569243	95569417	175	chr11:95569243-95569417|Locus_4239	group1	protein_coding	Ngfr	UTR3	ENSMUST00000000122.6
CDS (ENSMUST00000000127.5, CDS 4 of 4, 480bp)	chr11	103812424	103816656	4233	chr11:103812424-103816656|Locus_6975	group1	protein_coding	Wnt3	CDS	ENSMUST00000000127.5
CDS (ENSMUST00000000128.9, CDS 4 of 4, 474bp)	chr11	59331099	59331448	350	chr11:59331099-59331448|Locus_6341	group1	protein_coding	Wnt9a	CDS	ENSMUST00000000128.9
CDS (ENSMUST00000000153.8, CDS 1 of 4, 570bp)	chr5	140760083	140760857	775	chr5:140760083-140760857|Locus_3050	group1	protein_coding	Gna12	CDS	ENSMUST00000000153.8
UTR3 (ENSMUST00000000153.8)	chr5	140758533	140758957	425	chr5:140758533-140758957|Locus_3051	group1	protein_coding	Gna12	UTR3	ENSMUST00000000153.8
CDS (ENSMUST00000000153.8, CDS 1 of 4, 570bp)	chr5	140754597	140760867	6271	chr5:140754597-140760867|Locus_8021	group1	protein_coding	Gna12	CDS	ENSMUST00000000153.8
UTR5 (ENSMUST00000000188.11)	chr6	127150892	127152167	1276	chr6:127150892-127152167|Locus_2178	group1	protein_coding	Ccnd2	UTR5	ENSMUST00000000188.11
UTR3 (ENSMUST00000000188.11)	chr6	127129712	127129986	275	chr6:127129712-127129986|Locus_2180	group1	protein_coding	Ccnd2	UTR3	ENSMUST00000000188.11
UTR3 (ENSMUST00000000199.7)	chr2	31292387	31292886	500	chr2:31292387-31292886|Locus_2890	group1	protein_coding	Ncs1	UTR3	ENSMUST00000000199.7
UTR3 (ENSMUST00000000199.7)	chr2	31292987	31293186	200	chr2:31292987-31293186|Locus_2891	group1	protein_coding	Ncs1	UTR3	ENSMUST00000000199.7
CDS (ENSMUST00000000206.3, CDS 1 of 3, 1075bp)	chr11	114792167	114792266	100	chr11:114792167-114792266|Locus_15280	group1	protein_coding	Btbd17	CDS	ENSMUST00000000206.3
CDS (ENSMUST00000000206.3, CDS 1 of 3, 1075bp)	chr11	114791217	114791641	425	chr11:114791217-114791641|Locus_15281	group1	protein_coding	Btbd17	CDS	ENSMUST00000000206.3
UTR3 (ENSMUST00000000253.5)	chr2	38369416	38369465	50	chr2:38369416-38369465|Locus_3677	group1	protein_coding	Lhx2	UTR3	ENSMUST00000000253.5
UTR3 (ENSMUST00000000260.12)	chr13	45546062	45546382	321	chr13:45546062-45546382|Locus_13180	group1	protein_coding	Gmpr	UTR3	ENSMUST00000000260.12
CDS (ENSMUST00000000275.8, CDS 10 of 10, 279bp)	chr8	56125213	56125512	300	chr8:56125213-56125512|Locus_1450	group1	protein_coding	Glra3	CDS	ENSMUST00000000275.8
UTR3 (ENSMUST00000000275.8)	chr8	56129563	56129787	225	chr8:56129563-56129787|Locus_1451	group1	protein_coding	Glra3	UTR3	ENSMUST00000000275.8
CDS (ENSMUST00000000284.6, CDS 8 of 8, 527bp)	chr11	89016590	89016864	275	chr11:89016590-89016864|Locus_6381	group1	protein_coding	Trim25	CDS	ENSMUST00000000284.6
