exonID	exon_id	exon_name	exon_rank	tx_name.x	length	rank.x	V1	tx_name.y	rank.y	V4	V5	exonLoc	Sample
ENSMUST00000000001.4:1	94940	ENSMUSE00000363317.2	9	ENSMUST00000000001.4	2037	1	CDS (ENSMUST00000000001.4, CDS 1 of 9, 2037bp)	ENSMUST00000000001.4	1	84	2037	First	group1
ENSMUST00000000080.7:1	366769	ENSMUSE00000510516.5	1	ENSMUST00000000080.7	361	1	CDS (ENSMUST00000000080.7, CDS 1 of 4, 361bp)	ENSMUST00000000080.7	1	39	361	First	group1
ENSMUST00000000122.6:1	340969	ENSMUSE00000365687.6	6	ENSMUST00000000122.6	2278	1	CDS (ENSMUST00000000122.6, CDS 1 of 6, 2278bp)	ENSMUST00000000122.6	1	61	2278	First	group1
ENSMUST00000000122.6:1	340969	ENSMUSE00000365687.6	6	ENSMUST00000000122.6	2278	1	CDS (ENSMUST00000000122.6, CDS 1 of 6, 2278bp)	ENSMUST00000000122.6	1	61	2278	First	group1
ENSMUST00000000153.8:1	161429	ENSMUSE00000470727.2	4	ENSMUST00000000153.8	2711	1	CDS (ENSMUST00000000153.8, CDS 1 of 4, 2711bp)	ENSMUST00000000153.8	1	39	2711	First	group1
ENSMUST00000000188.11:1	186844	ENSMUSE00000512299.8	5	ENSMUST00000000188.11	5326	1	CDS (ENSMUST00000000188.11, CDS 1 of 5, 5326bp)	ENSMUST00000000188.11	1	50	5326	First	group1
ENSMUST00000000275.8:2	236074	ENSMUSE00001217169.1	2	ENSMUST00000000275.8	128	2	CDS (ENSMUST00000000275.8, CDS 10 of 10, 4997bp)	ENSMUST00000000275.8	2	2	4997	Last	group1
ENSMUST00000000275.8:2	236074	ENSMUSE00001217169.1	2	ENSMUST00000000275.8	128	2	CDS (ENSMUST00000000275.8, CDS 10 of 10, 4997bp)	ENSMUST00000000275.8	2	2	4997	Last	group1
ENSMUST00000000314.12:9	52344	ENSMUSE00000170553.2	9	ENSMUST00000000314.12	186	9	CDS (ENSMUST00000000314.12, CDS 16 of 16, 3662bp)	ENSMUST00000000314.12	9	13	3662	Middle	group1
ENSMUST00000000314.12:9	52344	ENSMUSE00000170553.2	9	ENSMUST00000000314.12	186	9	CDS (ENSMUST00000000314.12, CDS 16 of 16, 3662bp)	ENSMUST00000000314.12	9	13	3662	Middle	group1
ENSMUST00000000349.10:3	83503	ENSMUSE00000174689.3	3	ENSMUST00000000349.10	76	3	CDS (ENSMUST00000000349.10, CDS 11 of 11, 1949bp)	ENSMUST00000000349.10	3	6	1949	Middle	group1
ENSMUST00000000384.7:1	305974	ENSMUSE00000610706.2	23	ENSMUST00000000384.7	1370	1	CDS (ENSMUST00000000384.7, CDS 1 of 23, 1370bp)	ENSMUST00000000384.7	1	21	1370	First	group1
ENSMUST00000000388.14:2	313216	ENSMUSE00000259355.1	2	ENSMUST00000000388.14	174	2	CDS (ENSMUST00000000388.14, CDS 10 of 10, 664bp)	ENSMUST00000000388.14	2	2	664	Last	group1
ENSMUST00000000430.13:5	451816	ENSMUSE00001264556.1	5	ENSMUST00000000430.13	167	5	CDS (ENSMUST00000000430.13, CDS 12 of 13, 135bp)	ENSMUST00000000430.13	5	9	135	Middle	group1
ENSMUST00000000430.13:6	451820	ENSMUSE00001214360.1	6	ENSMUST00000000430.13	208	6	CDS (ENSMUST00000000430.13, CDS 13 of 13, 2109bp)	ENSMUST00000000430.13	6	9	2109	Middle	group1
ENSMUST00000000476.14:16	135155	ENSMUSE00000187158.1	16	ENSMUST00000000476.14	167	16	CDS (ENSMUST00000000476.14, CDS 22 of 23, 242bp)	ENSMUST00000000476.14	16	21	242	Middle	group1
ENSMUST00000000476.14:17	135158	ENSMUSE00000187186.1	17	ENSMUST00000000476.14	116	17	CDS (ENSMUST00000000476.14, CDS 23 of 23, 3263bp)	ENSMUST00000000476.14	17	21	3263	Middle	group1
ENSMUST00000000500.6:1	413856	ENSMUSE00000467414.5	7	ENSMUST00000000500.6	1358	1	CDS (ENSMUST00000000500.6, CDS 1 of 7, 1358bp)	ENSMUST00000000500.6	1	70	1358	First	group1
ENSMUST00000000542.13:3	409153	ENSMUSE00000132926.3	3	ENSMUST00000000542.13	137	3	CDS (ENSMUST00000000542.13, CDS 11 of 11, 1994bp)	ENSMUST00000000542.13	3	6	1994	Middle	group1
