ID	Gene Name	Species	BBID	BIOCARTA	COG_ONTOLOGY	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	KEGG_PATHWAY	OMIM_DISEASE	PIR_SUPERFAMILY	SMART	UP_KEYWORDS	UP_SEQ_FEATURE
10939	AFG3 like matrix AAA peptidase subunit 2(AFG3L2)	Homo sapiens				GO:0006461~protein complex assembly,GO:0006508~proteolysis,GO:0007409~axonogenesis,GO:0007528~neuromuscular junction development,GO:0008053~mitochondrial fusion,GO:0021675~nerve development,GO:0034982~mitochondrial protein processing,GO:0036444~calcium ion transmembrane import into mitochondrion,GO:0040014~regulation of multicellular organism growth,GO:0042407~cristae formation,GO:0042552~myelination,GO:0045041~protein import into mitochondrial intermembrane space,GO:0048747~muscle fiber development,GO:0051560~mitochondrial calcium ion homeostasis,GO:0060013~righting reflex,	GO:0005739~mitochondrion,GO:0005743~mitochondrial inner membrane,GO:0005745~m-AAA complex,GO:0016021~integral component of membrane,	GO:0004176~ATP-dependent peptidase activity,GO:0004222~metalloendopeptidase activity,GO:0005515~protein binding,GO:0005524~ATP binding,GO:0008237~metallopeptidase activity,GO:0008270~zinc ion binding,GO:0051082~unfolded protein binding,	IPR000642:Peptidase M41,IPR003593:AAA+ ATPase domain,IPR003959:ATPase, AAA-type, core,IPR003960:ATPase, AAA-type, conserved site,IPR005936:Peptidase, FtsH,IPR011546:Peptidase M41, FtsH extracellular,IPR027417:P-loop containing nucleoside triphosphate hydrolase,		610246~Spinocerebellar ataxia 28,614487~Ataxia, spastic, 5, autosomal recessive,		SM00382:AAA,	3D-structure,ATP-binding,Complete proteome,Disease mutation,Hydrolase,Membrane,Metal-binding,Metalloprotease,Mitochondrion,Neurodegeneration,Nucleotide-binding,Protease,Proteomics identification,Reference proteome,Spinocerebellar ataxia,Transmembrane,Transmembrane helix,Zinc,	chain:AFG3-like protein 2,metal ion-binding site:Zinc; catalytic,modified residue,nucleotide phosphate-binding region:ATP,sequence conflict,transmembrane region,
56172	ANKH inorganic pyrophosphate transport regulator(ANKH)	Homo sapiens				GO:0001501~skeletal system development,GO:0007626~locomotory behavior,GO:0030500~regulation of bone mineralization,GO:0030505~inorganic diphosphate transport,GO:0035435~phosphate ion transmembrane transport,GO:0055085~transmembrane transport,	GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0016021~integral component of membrane,GO:0019867~outer membrane,	GO:0005315~inorganic phosphate transmembrane transporter activity,GO:0015114~phosphate ion transmembrane transporter activity,GO:0030504~inorganic diphosphate transmembrane transporter activity,	IPR009887:Progressive ankylosis,		118600~Chondrocalcinosis 2,123000~Craniometaphyseal dysplasia,			Alternative splicing,Complete proteome,Deafness,Disease mutation,Membrane,Phosphate transport,Proteomics identification,Reference proteome,Transmembrane,Transmembrane helix,Transport,	chain:Progressive ankylosis protein homolog,sequence conflict,sequence variant,topological domain:Cytoplasmic,topological domain:Extracellular,transmembrane region,
10297	APC2, WNT signaling pathway regulator(APC2)	Homo sapiens			Cell division and chromosome partitioning,	GO:0001708~cell fate specification,GO:0007026~negative regulation of microtubule depolymerization,GO:0007389~pattern specification process,GO:0008283~cell proliferation,GO:0016055~Wnt signaling pathway,GO:0016477~cell migration,GO:0030178~negative regulation of Wnt signaling pathway,GO:0035414~negative regulation of catenin import into nucleus,GO:0045595~regulation of cell differentiation,GO:0045732~positive regulation of protein catabolic process,GO:0090090~negative regulation of canonical Wnt signaling pathway,	GO:0005737~cytoplasm,GO:0005794~Golgi apparatus,GO:0005874~microtubule,GO:0005881~cytoplasmic microtubule,GO:0005884~actin filament,GO:0015630~microtubule cytoskeleton,GO:0016342~catenin complex,GO:0030877~beta-catenin destruction complex,GO:0031258~lamellipodium membrane,GO:0048471~perinuclear region of cytoplasm,	GO:0005515~protein binding,GO:0008013~beta-catenin binding,GO:0008017~microtubule binding,GO:0045295~gamma-catenin binding,	IPR000225:Armadillo,IPR009223:Adenomatous polyposis coli protein, cysteine-rich repeat,IPR009224:SAMP,IPR009234:Adenomatous polyposis coli protein basic domain,IPR011989:Armadillo-like helical,IPR016024:Armadillo-type fold,IPR026818:Adenomatous polyposis coli (APC)  family,IPR026831:Adenomatous polyposis coli domain,IPR026837:Adenomatous polyposis coli 2,	hsa04310:Wnt signaling pathway,hsa04390:Hippo signaling pathway,hsa04550:Signaling pathways regulating pluripotency of stem cells,hsa04810:Regulation of actin cytoskeleton,hsa05166:HTLV-I infection,hsa05200:Pathways in cancer,hsa05206:MicroRNAs in cancer,hsa05210:Colorectal cancer,hsa05213:Endometrial cancer,hsa05217:Basal cell carcinoma,			SM00185:ARM,	Alternative splicing,Coiled coil,Complete proteome,Cytoplasm,Cytoskeleton,Golgi apparatus,Microtubule,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,Repeat,Wnt signaling pathway,	chain:Adenomatous polyposis coli protein 2,compositionally biased region:Pro-rich,compositionally biased region:Ser-rich,region of interest:5 X 20 AA approximate repeat of F-X-V-E- X-T-P-X-C-F-S-R-X-S-S-L-S-S-L-S,region of interest:Interaction with CTNNB1,region of interest:Interaction with MAPRE1 and MAPRE3,repeat:1,repeat:2,repeat:3,repeat:4,repeat:5,repeat:ARM 1,repeat:ARM 2,repeat:ARM 3,repeat:ARM 4,repeat:ARM 5,repeat:ARM 6,sequence conflict,sequence variant,splice variant,
245973	ATPase H+ transporting V1 subunit C2(ATP6V1C2)	Homo sapiens				GO:0008286~insulin receptor signaling pathway,GO:0015991~ATP hydrolysis coupled proton transport,GO:0016241~regulation of macroautophagy,GO:0030177~positive regulation of Wnt signaling pathway,GO:0033572~transferrin transport,GO:0034220~ion transmembrane transport,GO:0090383~phagosome acidification,	GO:0000221~vacuolar proton-transporting V-type ATPase, V1 domain,GO:0005765~lysosomal membrane,GO:0005829~cytosol,GO:0033180~proton-transporting V-type ATPase, V1 domain,GO:0070062~extracellular exosome,	GO:0008553~hydrogen-exporting ATPase activity, phosphorylative mechanism,GO:0015078~hydrogen ion transmembrane transporter activity,GO:0046961~proton-transporting ATPase activity, rotational mechanism,GO:0046983~protein dimerization activity,	IPR004907:ATPase, V1 complex, subunit C,	hsa00190:Oxidative phosphorylation,hsa01100:Metabolic pathways,hsa04145:Phagosome,hsa04721:Synaptic vesicle cycle,hsa04966:Collecting duct acid secretion,hsa05110:Vibrio cholerae infection,hsa05120:Epithelial cell signaling in Helicobacter pylori infection,hsa05323:Rheumatoid arthritis,				Alternative splicing,Coiled coil,Complete proteome,Hydrogen ion transport,Ion transport,Polymorphism,Proteomics identification,Reference proteome,Transport,	chain:V-type proton ATPase subunit C 2,sequence variant,splice variant,
23080	AVL9 cell migration associated(AVL9)	Homo sapiens				GO:0016477~cell migration,	GO:0016021~integral component of membrane,GO:0055037~recycling endosome,		IPR018307:Late secretory pathway protein AVL9,					Alternative splicing,Complete proteome,Endosome,Membrane,Methylation,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,Transmembrane,Transmembrane helix,	chain:Late secretory pathway protein AVL9 homolog,sequence variant,splice variant,transmembrane region,
116986	ArfGAP with GTPase domain, ankyrin repeat and PH domain 2(AGAP2)	Homo sapiens				GO:0007264~small GTPase mediated signal transduction,GO:0014068~positive regulation of phosphatidylinositol 3-kinase signaling,GO:0015031~protein transport,GO:0033601~positive regulation of mammary gland epithelial cell proliferation,GO:0042177~negative regulation of protein catabolic process,GO:0043524~negative regulation of neuron apoptotic process,GO:0043547~positive regulation of GTPase activity,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0046427~positive regulation of JAK-STAT cascade,GO:0060749~mammary gland alveolus development,GO:2001240~negative regulation of extrinsic apoptotic signaling pathway in absence of ligand,	GO:0005622~intracellular,GO:0005634~nucleus,GO:0005730~nucleolus,GO:0005739~mitochondrion,GO:0016020~membrane,GO:0070062~extracellular exosome,	GO:0005096~GTPase activator activity,GO:0005515~protein binding,GO:0005525~GTP binding,GO:0030295~protein kinase activator activity,GO:0046872~metal ion binding,	IPR001164:Arf GTPase activating protein,IPR001806:Small GTPase superfamily,IPR001849:Pleckstrin homology domain,IPR002110:Ankyrin repeat,IPR011993:Pleckstrin homology-like domain,IPR020683:Ankyrin repeat-containing domain,IPR027417:P-loop containing nucleoside triphosphate hydrolase,	hsa04068:FoxO signaling pathway,hsa04144:Endocytosis,			SM00105:ArfGap,SM00233:PH,	3D-structure,Alternative splicing,ANK repeat,Complete proteome,Cytoplasm,GTP-binding,GTPase activation,Metal-binding,Nucleotide-binding,Nucleus,Phosphoprotein,Polymorphism,Protein transport,Proteomics identification,Reference proteome,Repeat,Transport,Tumor suppressor,Zinc,Zinc-finger,	chain:Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 2,domain:Arf-GAP,domain:PH,helix,modified residue,nucleotide phosphate-binding region:GTP,region of interest:G domain,region of interest:Interaction with EPB41L1,region of interest:Interaction with PLCG1,region of interest:Interactions with HOMER1 and NF2,repeat:ANK 1,repeat:ANK 2,sequence conflict,sequence variant,splice variant,strand,turn,zinc finger region:C4-type,
8938	BAI1 associated protein 3(BAIAP3)	Homo sapiens				GO:0007186~G-protein coupled receptor signaling pathway,GO:0007269~neurotransmitter secretion,	GO:0098793~presynapse,	GO:0008022~protein C-terminus binding,	IPR000008:C2 calcium-dependent membrane targeting,IPR014770:Munc13 homology 1,IPR014772:Mammalian uncoordinated homology 13, domain 2,IPR019558:Mammalian uncoordinated homology 13, subgroup, domain 2,	hsa05202:Transcriptional misregulation in cancer,			SM00239:C2,	Alternative splicing,Complete proteome,Polymorphism,Proteomics identification,Reference proteome,Repeat,	chain:BAI1-associated protein 3,domain:C2 1,domain:C2 2,domain:MHD1,domain:MHD2,sequence variant,splice variant,
10018	BCL2 like 11(BCL2L11)	Homo sapiens				GO:0001701~in utero embryonic development,GO:0001782~B cell homeostasis,GO:0001783~B cell apoptotic process,GO:0001822~kidney development,GO:0001844~protein insertion into mitochondrial membrane involved in apoptotic signaling pathway,GO:0002262~myeloid cell homeostasis,GO:0006915~apoptotic process,GO:0006919~activation of cysteine-type endopeptidase activity involved in apoptotic process,GO:0007127~meiosis I,GO:0007160~cell-matrix adhesion,GO:0007283~spermatogenesis,GO:0007420~brain development,GO:0008584~male gonad development,GO:0008630~intrinsic apoptotic signaling pathway in response to DNA damage,GO:0030879~mammary gland development,GO:0032464~positive regulation of protein homooligomerization,GO:0034976~response to endoplasmic reticulum stress,GO:0035148~tube formation,GO:0042475~odontogenesis of dentin-containing tooth,GO:0043029~T cell homeostasis,GO:0043065~positive regulation of apoptotic process,GO:0043280~positive regulation of cysteine-type endopeptidase activity involved in apoptotic process,GO:0043525~positive regulation of neuron apoptotic process,GO:0043583~ear development,GO:0045787~positive regulation of cell cycle,GO:0046620~regulation of organ growth,GO:0048066~developmental pigmentation,GO:0048070~regulation of developmental pigmentation,GO:0048536~spleen development,GO:0048538~thymus development,GO:0048563~post-embryonic organ morphogenesis,GO:0060139~positive regulation of apoptotic process by virus,GO:0060154~cellular process regulating host cell cycle in response to virus,GO:0070242~thymocyte apoptotic process,GO:0090200~positive regulation of release of cytochrome c from mitochondria,GO:0097192~extrinsic apoptotic signaling pathway in absence of ligand,GO:1900740~positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway,GO:1902237~positive regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway,GO:1902263~apoptotic process involved in embryonic digit morphogenesis,GO:1903896~positive regulation of IRE1-mediated unfolded protein response,GO:2000271~positive regulation of fibroblast apoptotic process,GO:2001244~positive regulation of intrinsic apoptotic signaling pathway,	GO:0005739~mitochondrion,GO:0005741~mitochondrial outer membrane,GO:0005829~cytosol,GO:0005868~cytoplasmic dynein complex,GO:0012505~endomembrane system,GO:0019898~extrinsic component of membrane,GO:0097140~BIM-BCL-xl complex,GO:0097141~BIM-BCL-2 complex,	GO:0005515~protein binding,GO:0008017~microtubule binding,GO:0045502~dynein binding,	IPR014771:Apoptosis, Bim N-terminal,IPR015040:Bcl-x interacting,IPR017288:Bcl-2-like protein 11,	hsa04068:FoxO signaling pathway,hsa04151:PI3K-Akt signaling pathway,hsa04932:Non-alcoholic fatty liver disease (NAFLD),hsa05206:MicroRNAs in cancer,		PIRSF037827:Bcl-2-like protein 11,		3D-structure,Alternative splicing,Apoptosis,Complete proteome,Membrane,Mitochondrion,Phosphoprotein,Proteomics identification,Reference proteome,Ubl conjugation,	chain:Bcl-2-like protein 11,helix,modified residue,sequence conflict,short sequence motif:BH3,splice variant,
91653	BOC cell adhesion associated, oncogene regulated(BOC)	Homo sapiens				GO:0007155~cell adhesion,GO:0007224~smoothened signaling pathway,GO:0007411~axon guidance,GO:0045663~positive regulation of myoblast differentiation,GO:0051149~positive regulation of muscle cell differentiation,	GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0044295~axonal growth cone,	GO:0005515~protein binding,	IPR003598:Immunoglobulin subtype 2,IPR003599:Immunoglobulin subtype,IPR003961:Fibronectin, type III,IPR007110:Immunoglobulin-like domain,IPR013098:Immunoglobulin I-set,IPR013151:Immunoglobulin,IPR013783:Immunoglobulin-like fold,				SM00060:FN3,SM00408:IGc2,SM00409:IG,	3D-structure,Alternative splicing,Cell adhesion,Cell membrane,Complete proteome,Direct protein sequencing,Disulfide bond,Glycoprotein,Immunoglobulin domain,Membrane,Polymorphism,Proteomics identification,Reference proteome,Repeat,Signal,Transmembrane,Transmembrane helix,	chain:Brother of CDO,disulfide bond,domain:Fibronectin type-III 1,domain:Fibronectin type-III 2,domain:Fibronectin type-III 3,domain:Ig-like C2-type 1,domain:Ig-like C2-type 2,domain:Ig-like C2-type 3,domain:Ig-like C2-type 4,glycosylation site:N-linked (GlcNAc...),sequence conflict,sequence variant,signal peptide,splice variant,topological domain:Cytoplasmic,topological domain:Extracellular,transmembrane region,
8896	BUD31 homolog(BUD31)	Homo sapiens				GO:0000398~mRNA splicing, via spliceosome,GO:0006357~regulation of transcription from RNA polymerase II promoter,GO:2000825~positive regulation of androgen receptor activity,	GO:0000790~nuclear chromatin,GO:0005634~nucleus,GO:0005681~spliceosomal complex,	GO:0003700~transcription factor activity, sequence-specific DNA binding,GO:0005515~protein binding,GO:0030374~ligand-dependent nuclear receptor transcription coactivator activity,GO:0035257~nuclear hormone receptor binding,	IPR001748:G10 protein,IPR018230:BUD31/G10-related, conserved site,	hsa03040:Spliceosome,				3D-structure,Acetylation,Alternative splicing,Complete proteome,Nucleus,Proteomics identification,Reference proteome,	chain:Protein BUD31 homolog,modified residue,sequence conflict,short sequence motif:Nuclear localization signal,
