exonID	exon_id	exon_name	exon_rank	tx_name.x	length	rank.x	V1	tx_name.y	rank.y	V4	V5	exonLoc	Sample
ENST00000001008.4:1	384201	ENSE00000802791.3	1	ENST00000001008.4	292	1	CDS (ENST00000001008.4, CDS 1 of 10, 292bp)	ENST00000001008.4	1	2	292	First	group1
ENST00000002596.5:1	167490	ENSE00002024145.1	2	ENST00000002596.5	6964	1	CDS (ENST00000002596.5, CDS 1 of 2, 6964bp)	ENST00000002596.5	1	16	6964	First	group1
ENST00000008527.5:6	418777	ENSE00003681751.1	8	ENST00000008527.5	152	6	CDS (ENST00000008527.5, CDS 13 of 13, 1026bp)	ENST00000008527.5	6	8	1026	Middle	group1
ENST00000012443.4:13	589084	ENSE00001510079.1	13	ENST00000012443.4	569	13	CDS (ENST00000012443.4, CDS 2 of 13, 242bp)	ENST00000012443.4	13	8	242	Middle	group1
ENST00000017003.2:2	530876	ENSE00000736911.1	2	ENST00000017003.2	493	2	CDS (ENST00000017003.2, CDS 10 of 11, 334bp)	ENST00000017003.2	2	5	334	Middle	group1
ENST00000019019.2:5	654604	ENSE00003592278.1	5	ENST00000019019.2	91	5	CDS (ENST00000019019.2, CDS 12 of 14, 198bp)	ENST00000019019.2	5	9	198	Middle	group1
ENST00000019317.4:2	562439	ENSE00001541207.1	2	ENST00000019317.4	299	2	CDS (ENST00000019317.4, CDS 10 of 10, 2444bp)	ENST00000019317.4	2	2	2444	Last	group1
ENST00000019317.4:2	562439	ENSE00001541207.1	2	ENST00000019317.4	299	2	CDS (ENST00000019317.4, CDS 10 of 10, 2444bp)	ENST00000019317.4	2	2	2444	Last	group1
ENST00000040738.5:10	167551	ENSE00003620347.1	17	ENST00000040738.5	80	10	CDS (ENST00000040738.5, CDS 17 of 26, 6139bp)	ENST00000040738.5	10	23	6139	Middle	group1
ENST00000040738.5:10	167551	ENSE00003620347.1	17	ENST00000040738.5	80	10	CDS (ENST00000040738.5, CDS 17 of 26, 6139bp)	ENST00000040738.5	10	23	6139	Middle	group1
