anno	seqnames	start	end	width	peak	groupname	gene_type	gene_name	location	transcriptID
CDS (ENST00000001008.4, CDS 1 of 10, 105bp)	chr12	2904233	2906375	2143	chr12:2904233-2906375|Locus_2066	group1	protein_coding	FKBP4	CDS	ENST00000001008.4
CDS (ENST00000002125.4, CDS 10 of 10, 216bp)	chr2	37475468	37475567	100	chr2:37475468-37475567|Locus_5120	group1	protein_coding	NDUFAF7	CDS	ENST00000002125.4
CDS (ENST00000002596.5, CDS 1 of 1, 924bp)	chr4	11400713	11400787	75	chr4:11400713-11400787|Locus_8837	group1	protein_coding	HS3ST1	CDS	ENST00000002596.5
CDS (ENST00000006251.7, CDS 8 of 8, 476bp)	chr22	45132907	45133281	375	chr22:45132907-45133281|Locus_5076	group1	protein_coding	PRR5	CDS	ENST00000006251.7
CDS (ENST00000007722.7, CDS 25 of 25, 156bp)	chr17	48166573	48167797	1225	chr17:48166573-48167797|Locus_3677	group1	protein_coding	ITGA3	CDS	ENST00000007722.7
UTR5 (ENST00000008527.5)	chr12	107486842	107486891	50	chr12:107486842-107486891|Locus_1253	group1	protein_coding	CRY1	UTR5	ENST00000008527.5
UTR3 (ENST00000012049.5)	chr19	46206338	46206612	275	chr19:46206338-46206612|Locus_4782	group1	protein_coding	QPCTL	UTR3	ENST00000012049.5
CDS (ENST00000012443.4, CDS 2 of 13, 242bp)	chr19	46857006	46857055	50	chr19:46857006-46857055|Locus_5103	group1	protein_coding	PPP5C	CDS	ENST00000012443.4
CDS (ENST00000014914.5, CDS 1 of 3, 922bp)	chr12	13061284	13061633	350	chr12:13061284-13061633|Locus_8154	group1	protein_coding	GPRC5A	CDS	ENST00000014914.5
CDS (ENST00000014914.5, CDS 1 of 3, 922bp)	chr12	13061834	13062008	175	chr12:13061834-13062008|Locus_8155	group1	protein_coding	GPRC5A	CDS	ENST00000014914.5
CDS (ENST00000017003.2, CDS 9 of 11, 196bp)	chr17	48434564	48435692	1129	chr17:48434564-48435692|Locus_6057	group1	protein_coding	XYLT2	CDS	ENST00000017003.2
CDS (ENST00000017003.2, CDS 10 of 11, 334bp)	chr17	48435793	48437945	2153	chr17:48435793-48437945|Locus_6058	group1	protein_coding	XYLT2	CDS	ENST00000017003.2
CDS (ENST00000019019.2, CDS 10 of 11, 198bp)	chrX	48341172	48344520	3349	chrX:48341172-48344520|Locus_2686	group1	protein_coding	FTSJ1	CDS	ENST00000019019.2
CDS (ENST00000019317.4, CDS 2 of 9, 459bp)	chr18	9517116	9522296	5181	chr18:9517116-9522296|Locus_618	group1	protein_coding	RALBP1	CDS	ENST00000019317.4
CDS (ENST00000019317.4, CDS 3 of 9, 350bp)	chr18	9522422	9524630	2209	chr18:9522422-9524630|Locus_619	group1	protein_coding	RALBP1	CDS	ENST00000019317.4
UTR3 (ENST00000019317.4)	chr18	9535985	9536259	275	chr18:9535985-9536259|Locus_620	group1	protein_coding	RALBP1	UTR3	ENST00000019317.4
UTR3 (ENST00000019317.4)	chr18	9537935	9538034	100	chr18:9537935-9538034|Locus_621	group1	protein_coding	RALBP1	UTR3	ENST00000019317.4
CDS (ENST00000025301.2, CDS 6 of 11, 4501bp)	chr13	42877633	42877757	125	chr13:42877633-42877757|Locus_763	group1	protein_coding	AKAP11	CDS	ENST00000025301.2
UTR3 (ENST00000029410.5)	chr5	177036701	177037200	500	chr5:177036701-177037200|Locus_814	group1	protein_coding	B4GALT7	UTR3	ENST00000029410.5
CDS (ENST00000040738.5, CDS 17 of 26, 6139bp)	chr4	13606399	13606498	100	chr4:13606399-13606498|Locus_2817	group1	protein_coding	BOD1L1	CDS	ENST00000040738.5
CDS (ENST00000040738.5, CDS 17 of 26, 6139bp)	chr4	13604349	13604623	275	chr4:13604349-13604623|Locus_2818	group1	protein_coding	BOD1L1	CDS	ENST00000040738.5
CDS (ENST00000040738.5, CDS 17 of 26, 6139bp)	chr4	13603724	13604073	350	chr4:13603724-13604073|Locus_2819	group1	protein_coding	BOD1L1	CDS	ENST00000040738.5
CDS (ENST00000040738.5, CDS 17 of 26, 6139bp)	chr4	13603349	13603523	175	chr4:13603349-13603523|Locus_2820	group1	protein_coding	BOD1L1	CDS	ENST00000040738.5
CDS (ENST00000040738.5, CDS 17 of 26, 6139bp)	chr4	13602549	13602598	50	chr4:13602549-13602598|Locus_2821	group1	protein_coding	BOD1L1	CDS	ENST00000040738.5
CDS (ENST00000040738.5, CDS 17 of 26, 6139bp)	chr4	13600849	13601373	525	chr4:13600849-13601373|Locus_2822	group1	protein_coding	BOD1L1	CDS	ENST00000040738.5
CDS (ENST00000040738.5, CDS 17 of 26, 6139bp)	chr4	13598747	13600723	1977	chr4:13598747-13600723|Locus_2823	group1	protein_coding	BOD1L1	CDS	ENST00000040738.5
CDS (ENST00000046640.3, CDS 10 of 10, 134bp)	chr17	3563642	3563991	350	chr17:3563642-3563991|Locus_1416	group1	protein_coding	CTNS	CDS	ENST00000046640.3
UTR3 (ENST00000046640.3)	chr17	3564142	3564291	150	chr17:3564142-3564291|Locus_1417	group1	protein_coding	CTNS	UTR3	ENST00000046640.3
CDS (ENST00000054650.4, CDS 5 of 5, 282bp)	chr1	6693013	6693462	450	chr1:6693013-6693462|Locus_8136	group1	protein_coding	THAP3	CDS	ENST00000054650.4
CDS (ENST00000056217.5, CDS 1 of 14, 3154bp)	chr7	144062295	144062469	175	chr7:144062295-144062469|Locus_7106	group1	protein_coding	ARHGEF5	CDS	ENST00000056217.5
UTR3 (ENST00000056217.5)	chr7	144077383	144077482	100	chr7:144077383-144077482|Locus_7107	group1	protein_coding	ARHGEF5	UTR3	ENST00000056217.5
UTR3 (ENST00000066544.3)	chr17	45198011	45198185	175	chr17:45198011-45198185|Locus_8838	group1	protein_coding	CDC27	UTR3	ENST00000066544.3
CDS (ENST00000072869.4, CDS 1 of 8, 933bp)	chr7	140373628	140374027	400	chr7:140373628-140374027|Locus_8184	group1	protein_coding	ADCK2	CDS	ENST00000072869.4
UTR3 (ENST00000078429.4)	chr19	3121256	3121305	50	chr19:3121256-3121305|Locus_3124	group1	protein_coding	GNA11	UTR3	ENST00000078429.4
CDS (ENST00000078527.4, CDS 2 of 3, 1122bp)	chr1	27121612	27121711	100	chr1:27121612-27121711|Locus_5178	group1	protein_coding	PIGV	CDS	ENST00000078527.4
CDS (ENST00000078527.4, CDS 3 of 3, 282bp)	chr1	27124240	27124514	275	chr1:27124240-27124514|Locus_5179	group1	protein_coding	PIGV	CDS	ENST00000078527.4
UTR3 (ENST00000080059.7)	chr12	48176982	48177456	475	chr12:48176982-48177456|Locus_4470	group1	protein_coding	HDAC7	UTR3	ENST00000080059.7
UTR3 (ENST00000155674.5)	chr22	17618635	17618809	175	chr22:17618635-17618809|Locus_3123	group1	protein_coding	CECR5	UTR3	ENST00000155674.5
CDS (ENST00000157812.2, CDS 1 of 11, 36bp)	chr19	40477112	40478392	1281	chr19:40477112-40478392|Locus_5467	group1	protein_coding	PSMC4	CDS	ENST00000157812.2
CDS (ENST00000158149.3, CDS 4 of 6, 310bp)	chr17	3721586	3721685	100	chr17:3721586-3721685|Locus_5111	group1	protein_coding	C17orf85	CDS	ENST00000158149.3
