gene_id	transcript_id	gene_name	gene_type	Promoter	UTR5	CDS	UTR3	Stop Codon	Intron	Transcript	peakDetail	Sample
ENSMUSG00000000001.4	ENSMUST00000000001.4	Gnai3	protein_coding	0	0	0	1	0	0	1	chr3:108108780-108109204|Locus_3055	group1
ENSMUSG00000000078.7	ENSMUST00000000080.7	Klf6	protein_coding	0	0	2	1	1	0	3	chr13:5861757-5863621|Locus_8705,chr13:5864699-5865173|Locus_8706,chr13:5867479-5867828|Locus_8707	group1
ENSMUSG00000000120.6	ENSMUST00000000122.6	Ngfr	protein_coding	0	0	0	2	0	0	2	chr11:95570368-95570517|Locus_4238,chr11:95569243-95569417|Locus_4239	group1
ENSMUSG00000000125.5	ENSMUST00000000127.5	Wnt3	protein_coding	0	0	1	0	1	0	1	chr11:103812424-103816656|Locus_6975	group1
ENSMUSG00000000126.11	ENSMUST00000000128.9	Wnt9a	protein_coding	0	0	1	0	1	0	1	chr11:59331099-59331448|Locus_6341	group1
ENSMUSG00000000149.10	ENSMUST00000000153.8	Gna12	protein_coding	0	0	2	1	2	0	3	chr5:140760083-140760857|Locus_3050,chr5:140758533-140758957|Locus_3051,chr5:140754597-140760867|Locus_8021	group1
ENSMUSG00000000184.12	ENSMUST00000000188.11	Ccnd2	protein_coding	0	1	0	1	0	0	2	chr6:127150892-127152167|Locus_2178,chr6:127129712-127129986|Locus_2180	group1
ENSMUSG00000062661.6	ENSMUST00000000199.7	Ncs1	protein_coding	0	0	0	2	0	0	2	chr2:31292387-31292886|Locus_2890,chr2:31292987-31293186|Locus_2891	group1
ENSMUSG00000000202.9	ENSMUST00000000206.3	Btbd17	protein_coding	0	0	2	0	1	0	2	chr11:114792167-114792266|Locus_15280,chr11:114791217-114791641|Locus_15281	group1
ENSMUSG00000000247.11	ENSMUST00000000253.5	Lhx2	protein_coding	0	0	0	1	0	0	1	chr2:38369416-38369465|Locus_3677	group1
ENSMUSG00000000253.13	ENSMUST00000000260.12	Gmpr	protein_coding	0	0	0	1	1	0	1	chr13:45546062-45546382|Locus_13180	group1
ENSMUSG00000038257.9	ENSMUST00000000275.8	Glra3	protein_coding	0	0	1	1	1	0	2	chr8:56125213-56125512|Locus_1450,chr8:56129563-56129787|Locus_1451	group1
ENSMUSG00000000275.16	ENSMUST00000000284.6	Trim25	protein_coding	0	0	1	0	1	0	1	chr11:89016590-89016864|Locus_6381	group1
ENSMUSG00000000295.13	ENSMUST00000000304.13	Hddc2	protein_coding	0	0	0	1	1	0	1	chr10:31328097-31328196|Locus_14674	group1
ENSMUSG00000000305.12	ENSMUST00000000314.12	Cdh4	protein_coding	0	0	1	1	1	0	2	chr2:179895755-179896329|Locus_2213,chr2:179896905-179897129|Locus_2214	group1
ENSMUSG00000000339.14	ENSMUST00000000348.14	Rtca	protein_coding	0	0	1	0	1	0	1	chr3:116489063-116489262|Locus_13191	group1
ENSMUSG00000000340.10	ENSMUST00000000349.10	Dbt	protein_coding	0	0	1	0	1	0	1	chr3:116548134-116548383|Locus_2439	group1
ENSMUSG00000000374.8	ENSMUST00000000384.7	Trappc10	protein_coding	0	0	1	0	1	0	1	chr10:78187550-78187999|Locus_6259	group1
ENSMUSG00000000378.15	ENSMUST00000000388.14	Ccm2	protein_coding	0	0	1	0	1	0	1	chr11:6596154-6596744|Locus_6306	group1
ENSMUSG00000000420.15	ENSMUST00000000430.13	Galnt1	protein_coding	0	0	2	0	1	0	2	chr18:24282132-24282306|Locus_2961,chr18:24283132-24285349|Locus_2962	group1
ENSMUSG00000000439.9	ENSMUST00000000449.8	Mkrn2	protein_coding	0	0	0	0	0	0	0	NA	group1
ENSMUSG00000029231.15	ENSMUST00000000476.14	Pdgfra	protein_coding	0	0	1	1	1	0	2	chr5:75192593-75195722|Locus_656,chr5:75196098-75196272|Locus_657	group1
ENSMUSG00000000489.6	ENSMUST00000000500.6	Pdgfb	protein_coding	0	0	0	1	0	0	1	chr15:79996724-79997223|Locus_4454	group1
ENSMUSG00000000530.16	ENSMUST00000000542.13	Acvrl1	protein_coding	0	0	0	2	0	0	2	chr15:101144972-101145096|Locus_1639,chr15:101145122-101145171|Locus_1640	group1
ENSMUSG00000000531.4	ENSMUST00000000543.4	Grasp	protein_coding	0	0	1	0	1	0	1	chr15:101231924-101232048|Locus_12286	group1
ENSMUSG00000000532.10	ENSMUST00000000544.10	Acvr1b	protein_coding	0	0	1	1	1	0	2	chr15:101210817-101211391|Locus_1634,chr15:101212892-101213091|Locus_1635	group1
ENSMUSG00000000567.5	ENSMUST00000000579.2	Sox9	protein_coding	0	0	1	1	1	0	2	chr11:112785476-112785950|Locus_5377,chr11:112786301-112786350|Locus_5378	group1
ENSMUSG00000000605.9	ENSMUST00000000619.7	Clcn4	protein_coding	0	1	2	0	1	0	3	chr7:7298186-7298730|Locus_2281,chr7:7296364-7296838|Locus_2282,chr7:7283284-7287679|Locus_2283	group1
ENSMUSG00000000627.15	ENSMUST00000000641.14	Sema4f	protein_coding	0	0	1	1	1	0	2	chr6:82913185-82913609|Locus_5181,chr6:82912660-82912734|Locus_5182	group1
ENSMUSG00000000693.10	ENSMUST00000000707.8	Loxl3	protein_coding	0	0	0	0	0	0	0	NA	group1
ENSMUSG00000000711.3	ENSMUST00000000727.3	Rab5b	protein_coding	0	0	0	2	0	0	2	chr10:128679200-128679249|Locus_4866,chr10:128677900-128677949|Locus_4867	group1
ENSMUSG00000000740.12	ENSMUST00000000756.5	Rpl13	protein_coding	0	0	1	0	1	0	1	chr8:123105150-123105244|Locus_190	group1
ENSMUSG00000000743.9	ENSMUST00000000759.8	Chmp1a	protein_coding	0	0	0	2	1	0	2	chr8:123205139-123205538|Locus_8371,chr8:123204589-123205013|Locus_8372	group1
ENSMUSG00000000787.12	ENSMUST00000000804.6	Ddx3x	protein_coding	0	1	0	1	1	0	2	chrX:13280970-13281044|Locus_2456,chrX:13291501-13291650|Locus_2457	group1
ENSMUSG00000000791.9	ENSMUST00000000808.7	Il12rb1	protein_coding	0	0	1	0	1	0	1	chr8:70820670-70820819|Locus_3377	group1
ENSMUSG00000000792.2	ENSMUST00000000809.2	Slc5a5	protein_coding	0	0	0	1	0	0	1	chr8:70883139-70883563|Locus_1607	group1
ENSMUSG00000000794.9	ENSMUST00000000811.7	Kcnn3	protein_coding	0	0	3	0	1	0	3	chr3:89520214-89520563|Locus_2708,chr3:89521139-89564867|Locus_2709,chr3:89667332-89667556|Locus_2710	group1
ENSMUSG00000000861.15	ENSMUST00000000881.12	Bcl11a	protein_coding	0	0	3	0	0	0	3	chr11:24163430-24163479|Locus_2689,chr11:24164205-24164629|Locus_2690,chr11:24164680-24165229|Locus_2691	group1
