gene_id	transcript_id	gene_name	gene_type	Promoter	UTR5	CDS	UTR3	Stop Codon	Intron	Transcript	peakDetail	Sample
ENSG00000004478.5	ENST00000001008.4	FKBP4	protein_coding	0	0	1	0	0	0	1	chr12:2904233-2906375|Locus_2066	group1
ENSG00000003509.11	ENST00000002125.4	NDUFAF7	protein_coding	0	0	1	0	1	0	1	chr2:37475468-37475567|Locus_5120	group1
ENSG00000002587.5	ENST00000002596.5	HS3ST1	protein_coding	0	0	1	0	1	0	1	chr4:11400713-11400787|Locus_8837	group1
ENSG00000079387.9	ENST00000004980.5	SENP1	protein_coding	0	0	0	0	1	0	0	NA	group1
ENSG00000186654.16	ENST00000006251.7	PRR5	protein_coding	0	0	1	0	0	0	1	chr22:45132907-45133281|Locus_5076	group1
ENSG00000005884.13	ENST00000007722.7	ITGA3	protein_coding	0	0	1	0	1	0	1	chr17:48166573-48167797|Locus_3677	group1
ENSG00000008405.7	ENST00000008527.5	CRY1	protein_coding	0	1	0	0	0	0	1	chr12:107486842-107486891|Locus_1253	group1
ENSG00000011478.7	ENST00000012049.5	QPCTL	protein_coding	0	0	0	1	1	0	1	chr19:46206338-46206612|Locus_4782	group1
ENSG00000011485.10	ENST00000012443.4	PPP5C	protein_coding	0	0	1	0	0	0	1	chr19:46857006-46857055|Locus_5103	group1
ENSG00000013588.5	ENST00000014914.5	GPRC5A	protein_coding	0	0	2	0	0	0	2	chr12:13061284-13061633|Locus_8154,chr12:13061834-13062008|Locus_8155	group1
ENSG00000015532.5	ENST00000017003.2	XYLT2	protein_coding	0	0	2	0	1	0	2	chr17:48434564-48435692|Locus_6057,chr17:48435793-48437945|Locus_6058	group1
ENSG00000068438.10	ENST00000019019.2	FTSJ1	protein_coding	0	0	1	0	1	0	1	chrX:48341172-48344520|Locus_2686	group1
ENSG00000017797.7	ENST00000019317.4	RALBP1	protein_coding	0	0	2	2	1	0	4	chr18:9517116-9522296|Locus_618,chr18:9522422-9524630|Locus_619,chr18:9535985-9536259|Locus_620,chr18:9537935-9538034|Locus_621	group1
ENSG00000022567.5	ENST00000024061.3	SLC45A4	protein_coding	0	0	0	0	1	0	0	NA	group1
ENSG00000023516.7	ENST00000025301.2	AKAP11	protein_coding	0	0	1	0	0	0	1	chr13:42877633-42877757|Locus_763	group1
ENSG00000027847.9	ENST00000029410.5	B4GALT7	protein_coding	0	0	0	1	1	0	1	chr5:177036701-177037200|Locus_814	group1
